scenario_id,scenario_description,recommended_care_option,explanation,urgency_level
cb01485e-b145-4f2f-ba1b-9e9548b28156,A 47-year-old traveler from Portugal at an amusement park. Visitor has a deep laceration that is bleeding heavily and not stopping with direct pressure.,Emergency Room (ER),Uncontrolled bleeding from a deep wound is a medical emergency. Go to the ER or call 911 for immediate wound care and possible surgery.,Critical
00c6bc6c-6b9a-4e92-a34e-3a8d1ecf8ad3,A 35-year-old business traveler from France on a 2-week vacation. Traveler has a sore throat and difficulty swallowing for two days with no breathing problems.,Urgent Care Center,"Urgent care can test for strep throat and prescribe antibiotics if needed, providing faster service than scheduling a primary care visit.",Low-Moderate
bd186c0e-d575-44b9-a17b-a800b6bc6fe8,A 28-year-old traveler from Brazil sightseeing in the city. Traveler without insurance needs to see a doctor for a non-emergency concern and cannot afford ER prices.,Community Health Clinic,"Federally Qualified Health Centers (FQHCs) provide care on a sliding fee scale based on income, making them accessible for uninsured visitors.",Low
2793b4f7-fd71-4378-847a-034e94eaf34f,A 62-year-old tourist from Germany at a shopping mall. Visitor needs a prescription transferred from their home country and filled locally.,Pharmacy,Pharmacists can advise on whether foreign prescriptions can be accepted (policies vary by state). A telehealth or urgent care visit may be needed to get a US prescription.,Low-Moderate
1cdd235d-e12b-422d-a83a-251a488fd9c2,A 68-year-old visitor from Italy after a long-haul flight. Uninsured visitor needs a basic health check and blood pressure evaluation.,Community Health Clinic,Community clinics offer sliding-scale fee services for uninsured patients. They provide basic primary care regardless of insurance status.,Low
29d25284-d8f9-44e3-b61a-51021b196d37,A 55-year-old visitor from China at a shopping mall. Visitor has a deep laceration that is bleeding heavily and not stopping with direct pressure.,Emergency Room (ER),Uncontrolled bleeding from a deep wound is a medical emergency. Go to the ER or call 911 for immediate wound care and possible surgery.,Critical
04866de8-c03c-4295-a3b4-09d9398b9476,A 50-year-old visitor from the UK at an Airbnb rental. Visitor needs to purchase over-the-counter pain relief medication for a mild headache.,Pharmacy,Pharmacies carry a wide range of OTC medications including acetaminophen (Tylenol) and ibuprofen (Advil) for headache relief. No prescription needed.,Low
4358d390-a601-4ea4-99be-ad1d4b96bb13,A 35-year-old business traveler from France visiting family. Visitor has been vomiting for several hours after eating street food and feels dehydrated.,Urgent Care Center,Food poisoning with mild-to-moderate dehydration can be treated at urgent care with IV fluids if needed. Go to the ER if symptoms worsen severely.,Moderate
da506bcc-499f-4bb0-aa1b-81253568b344,A 28-year-old traveler from Brazil at an amusement park. Traveler feels anxious and stressed during their trip and wants to speak with a mental health professional.,Telehealth Service,Telehealth platforms offer same-day or next-day mental health counseling via video call. No physical visit required.,Low-Moderate
73b57271-ab48-40c1-bc0c-8fdc9416e39f,A 47-year-old traveler from Portugal attending a business conference. Traveler is having a severe allergic reaction with throat swelling and difficulty breathing after eating.,Emergency Room (ER),"Anaphylaxis is life-threatening. Call 911 immediately. If an EpiPen is available, use it. Do not wait — go to the ER right away.",Critical
45e2715b-16de-4d9a-872a-2fd9613574bc,A 33-year-old tourist from Spain visiting family. Traveler sustained a small cut on the hand while cooking that may need stitches.,Urgent Care Center,Urgent care can clean wounds and apply sutures or skin glue for lacerations that do not involve tendons or deep tissue.,Moderate
de0f0302-64e9-472a-9d0d-c0dce3ec6505,A 62-year-old tourist from Germany during a road trip. Visitor has a suspected urinary tract infection with burning sensation and frequent urination.,Urgent Care Center,Urgent care centers can diagnose UTIs with a urine test and prescribe appropriate antibiotics quickly.,Moderate
c1a5e173-cc34-4b5f-9fca-0f4bf79132d5,A 19-year-old student from Mexico during a road trip. Traveler ran out of daily allergy medication and needs a refill or OTC equivalent.,Pharmacy,Many allergy medications like cetirizine (Zyrtec) and loratadine (Claritin) are available OTC at pharmacies. Ask the pharmacist for guidance.,Low
12346a93-7988-43ba-8d76-3bfa7daa7acb,A 50-year-old visitor from the UK visiting family. Traveler is having a severe allergic reaction with throat swelling and difficulty breathing after eating.,Emergency Room (ER),"Anaphylaxis is life-threatening. Call 911 immediately. If an EpiPen is available, use it. Do not wait — go to the ER right away.",Critical
41fda37a-1377-47cb-b967-bdfcdcefe804,A 45-year-old visitor from Japan visiting family. Visitor has a high fever of 104°F with stiff neck and sensitivity to light.,Emergency Room (ER),"High fever with neck stiffness and photophobia are classic signs of meningitis, a life-threatening condition. Go to the ER immediately.",Critical
6bffa410-6ce5-4377-8630-0c625ef0c715,A 72-year-old retiree from Canada at a hotel. Traveler needs a prescription renewal for a chronic condition medication they take regularly.,Telehealth Service,Telehealth providers can evaluate ongoing chronic conditions and issue prescription renewals in most states. This is the most convenient option for travelers.,Low-Moderate
7e1dd4fe-3095-4b9a-999e-004ddda22f7e,A 50-year-old visitor from the UK on a 2-week vacation. Traveler has had a sudden onset of severe headache described as 'the worst headache of their life.',Emergency Room (ER),A sudden severe headache can indicate a subarachnoid hemorrhage or other serious neurological event. Go to the ER immediately.,Critical
a51dca58-a9db-4fc3-8f86-badbb7fd33f3,A 40-year-old visitor from Saudi Arabia at a beach resort. Traveler needs a prescription renewal for a chronic condition medication they take regularly.,Telehealth Service,Telehealth providers can evaluate ongoing chronic conditions and issue prescription renewals in most states. This is the most convenient option for travelers.,Low-Moderate
86ae936b-c720-41db-b1a6-5a65b99caa35,A 72-year-old retiree from Canada at a hotel. Visitor needs to purchase over-the-counter pain relief medication for a mild headache.,Pharmacy,Pharmacies carry a wide range of OTC medications including acetaminophen (Tylenol) and ibuprofen (Advil) for headache relief. No prescription needed.,Low
f467502f-92e5-43e5-8454-98aeaf9a0743,A 22-year-old student from South Korea during a layover. Visitor developed a mild rash after eating at a restaurant and is unsure of the cause.,Urgent Care Center,"Urgent care can evaluate mild allergic reactions and skin rashes, prescribe antihistamines, and rule out more serious conditions.",Moderate
82e8c8f1-0cef-4a9a-a70e-eeaf37ed7051,A 33-year-old tourist from Spain visiting family. Visitor has a minor ankle sprain after sightseeing and is experiencing mild swelling and pain.,Urgent Care Center,"An urgent care center can assess musculoskeletal injuries like sprains, provide X-rays if needed, and offer wrap/brace support without the long ER wait times or high costs.",Moderate
c7095f23-023a-4faf-b1f8-6090e19fd70e,A 40-year-old visitor from Saudi Arabia during a road trip. Visitor wants guidance on whether their symptoms warrant an ER visit or can be managed at home.,Telehealth Service,"Telehealth triage services help visitors determine the appropriate level of care needed, potentially saving an unnecessary ER visit.",Low-Moderate
b75ee906-99f5-45c3-bed1-e2e7af0a40e2,A 45-year-old visitor from Japan attending a business conference. Traveler ingested an unknown substance accidentally and is feeling dizzy and nauseous.,Emergency Room (ER),Suspected poisoning requires immediate ER evaluation. Also contact Poison Control at 1-800-222-1222.,Critical
4e762030-819c-44b1-b33d-bcdc3e80bbcf,A 33-year-old tourist from Spain attending a business conference. Visitor has a suspected urinary tract infection with burning sensation and frequent urination.,Urgent Care Center,Urgent care centers can diagnose UTIs with a urine test and prescribe appropriate antibiotics quickly.,Moderate
ce07395d-a43c-407c-99c3-b2807dd087ed,"A 28-year-old traveler from Brazil attending a business conference. Visitor slipped on wet floor and has wrist pain with minor swelling, no open wound.",Urgent Care Center,Urgent care can X-ray the wrist to rule out fractures and provide splinting or referral if needed.,Moderate
b76fe159-e803-4bc9-a70f-7ed365b5b559,A 28-year-old traveler from Brazil visiting family. Visitor needs antidiarrheal medication after stomach upset from travel.,Pharmacy,OTC medications like loperamide (Imodium) for diarrhea are available at any pharmacy without a prescription.,Low
58023217-9e1d-4797-9f8d-3044a8bb3e86,A 47-year-old traveler from Portugal attending a business conference. Visitor wants motion sickness medication before a cruise or long road trip.,Pharmacy,OTC options like dimenhydrinate (Dramamine) or meclizine are available at pharmacies for motion sickness prevention.,Low
75ca62ca-cd8e-4cbf-9041-79644157450e,A 55-year-old visitor from China during a layover. Traveler ran out of daily allergy medication and needs a refill or OTC equivalent.,Pharmacy,Many allergy medications like cetirizine (Zyrtec) and loratadine (Claritin) are available OTC at pharmacies. Ask the pharmacist for guidance.,Low
49f429c4-d63d-4624-a5fb-020b38561d96,"A 33-year-old tourist from Spain visiting family. Visitor has a broken bone with visible deformity after a fall, and extreme pain.",Emergency Room (ER),"Suspected fractures with deformity require ER evaluation for imaging, realignment, and possible casting or surgical intervention.",High
95ccc753-436f-4091-8a2c-fbcd3962b4e5,A 47-year-old traveler from Portugal at a shopping mall. Traveler feels anxious and stressed during their trip and wants to speak with a mental health professional.,Telehealth Service,Telehealth platforms offer same-day or next-day mental health counseling via video call. No physical visit required.,Low-Moderate
25be76b3-e3bd-403b-a3c4-a2a9a29131c2,A 50-year-old visitor from the UK at a beach resort. Visitor wants medical advice about a mild skin rash that appeared during travel.,Telehealth Service,Telehealth dermatology services allow photo-based consultations for skin conditions. A provider can assess and prescribe treatment if needed.,Low
bef93d5e-f346-43d8-8443-f78d21d954d1,A 50-year-old visitor from the UK on a cruise stopover. Traveler sustained a small cut on the hand while cooking that may need stitches.,Urgent Care Center,Urgent care can clean wounds and apply sutures or skin glue for lacerations that do not involve tendons or deep tissue.,Moderate
9b3dc727-2c76-4bd1-a9c4-011830ad6521,A 47-year-old traveler from Portugal on a 2-week vacation. Visitor has a suspected urinary tract infection with burning sensation and frequent urination.,Urgent Care Center,Urgent care centers can diagnose UTIs with a urine test and prescribe appropriate antibiotics quickly.,Moderate
f9d03a36-e0bf-4206-a5aa-d25c07ebfeaa,A 47-year-old traveler from Portugal during a road trip. Traveler ingested an unknown substance accidentally and is feeling dizzy and nauseous.,Emergency Room (ER),Suspected poisoning requires immediate ER evaluation. Also contact Poison Control at 1-800-222-1222.,Critical
50005478-65a2-43b1-837a-ef87a9e0bb40,"A 22-year-old student from South Korea sightseeing in the city. Visitor slipped on wet floor and has wrist pain with minor swelling, no open wound.",Urgent Care Center,Urgent care can X-ray the wrist to rule out fractures and provide splinting or referral if needed.,Moderate
ac36d675-d166-437f-b57b-3bf3c7f5d31b,A 30-year-old tourist from Australia at a hotel. Traveler without insurance needs to see a doctor for a non-emergency concern and cannot afford ER prices.,Community Health Clinic,"Federally Qualified Health Centers (FQHCs) provide care on a sliding fee scale based on income, making them accessible for uninsured visitors.",Low
d6ea6193-1d8e-493d-8be1-fe814f327812,A 33-year-old tourist from Spain at a hotel. Visitor has a high fever of 104°F with stiff neck and sensitivity to light.,Emergency Room (ER),"High fever with neck stiffness and photophobia are classic signs of meningitis, a life-threatening condition. Go to the ER immediately.",Critical
c9823993-465c-42de-a30c-2b4f0b8de47c,A 40-year-old visitor from Saudi Arabia on a 2-week vacation. Visitor wants guidance on whether their symptoms warrant an ER visit or can be managed at home.,Telehealth Service,"Telehealth triage services help visitors determine the appropriate level of care needed, potentially saving an unnecessary ER visit.",Low-Moderate
99cb56e9-208b-40f7-aa01-a73daa59ba16,A 33-year-old tourist from Spain at a national park. Traveler has had a fever of 101°F for 24 hours with mild body aches and no rash.,Urgent Care Center,"Urgent care is appropriate for fevers that are persistent but not dangerously high, allowing evaluation and treatment without ER-level expense.",Moderate
89034a9e-3fb9-4f58-9fa4-f564fd72c9a8,"A 47-year-old traveler from Portugal at an amusement park. Visitor has a broken bone with visible deformity after a fall, and extreme pain.",Emergency Room (ER),"Suspected fractures with deformity require ER evaluation for imaging, realignment, and possible casting or surgical intervention.",High
4b312716-9667-4be4-888f-319a7d81bb2b,A 62-year-old tourist from Germany at a hotel. Visitor needs to purchase over-the-counter pain relief medication for a mild headache.,Pharmacy,Pharmacies carry a wide range of OTC medications including acetaminophen (Tylenol) and ibuprofen (Advil) for headache relief. No prescription needed.,Low
bc0c7d70-ffdc-46a0-a5e2-b2f7458cd1d2,A 55-year-old visitor from China at a shopping mall. Traveler has had a fever of 101°F for 24 hours with mild body aches and no rash.,Urgent Care Center,"Urgent care is appropriate for fevers that are persistent but not dangerously high, allowing evaluation and treatment without ER-level expense.",Moderate
ca29a7de-cedd-4e6a-ae99-c35d08f916a3,A 33-year-old tourist from Spain at a shopping mall. Visitor has been vomiting for several hours after eating street food and feels dehydrated.,Urgent Care Center,Food poisoning with mild-to-moderate dehydration can be treated at urgent care with IV fluids if needed. Go to the ER if symptoms worsen severely.,Moderate
32dc2e0f-9085-42e4-9527-71c580a1425d,A 55-year-old visitor from China during a layover. Visitor wants guidance on whether their symptoms warrant an ER visit or can be managed at home.,Telehealth Service,"Telehealth triage services help visitors determine the appropriate level of care needed, potentially saving an unnecessary ER visit.",Low-Moderate
9b1716a0-2b9b-413f-9ace-574724cac679,A 33-year-old tourist from Spain at a shopping mall. Visitor has a high fever of 104°F with stiff neck and sensitivity to light.,Emergency Room (ER),"High fever with neck stiffness and photophobia are classic signs of meningitis, a life-threatening condition. Go to the ER immediately.",Critical
550cb250-c43f-4f13-8e3e-1080c5bc477c,A 35-year-old business traveler from France attending a business conference. Visitor wants motion sickness medication before a cruise or long road trip.,Pharmacy,OTC options like dimenhydrinate (Dramamine) or meclizine are available at pharmacies for motion sickness prevention.,Low
9f6f7fdb-9938-4f61-a82c-15f7799470ae,"A 30-year-old tourist from Australia visiting family. Visitor fell and hit their head, briefly losing consciousness and now feeling confused.",Emergency Room (ER),Loss of consciousness and confusion after a head injury indicates possible concussion or traumatic brain injury requiring immediate ER evaluation.,Critical
db1947b3-9422-411a-9b90-0d5072c10ede,A 45-year-old visitor from Japan attending a business conference. Visitor needs routine vaccinations or travel immunizations not received before departure.,Community Health Clinic,"Many community health clinics offer vaccination services, including travel vaccines, often at reduced cost compared to private clinics.",Low
bcd1d65c-9db2-4ab3-a5a8-95bfdbbb030c,"A 62-year-old tourist from Germany on a student exchange program. Visitor slipped on wet floor and has wrist pain with minor swelling, no open wound.",Urgent Care Center,Urgent care can X-ray the wrist to rule out fractures and provide splinting or referral if needed.,Moderate
8dbfb77b-7656-4c3a-ad56-83ed3bdfefd9,A 35-year-old business traveler from France on a cruise stopover. Visitor has a suspected urinary tract infection with burning sensation and frequent urination.,Urgent Care Center,Urgent care centers can diagnose UTIs with a urine test and prescribe appropriate antibiotics quickly.,Moderate
94bab824-90ad-4337-815b-e1265852855f,A 40-year-old visitor from Saudi Arabia at a hotel. Visitor needs routine vaccinations or travel immunizations not received before departure.,Community Health Clinic,"Many community health clinics offer vaccination services, including travel vaccines, often at reduced cost compared to private clinics.",Low
331f935c-ff57-4ce6-abcc-d67887872c6f,A 72-year-old retiree from Canada at a hotel. Visitor has a deep laceration that is bleeding heavily and not stopping with direct pressure.,Emergency Room (ER),Uncontrolled bleeding from a deep wound is a medical emergency. Go to the ER or call 911 for immediate wound care and possible surgery.,Critical
d278ee63-c675-4ada-b17d-6871bd9d140e,A 28-year-old traveler from Brazil visiting family. Visitor wants guidance on whether their symptoms warrant an ER visit or can be managed at home.,Telehealth Service,"Telehealth triage services help visitors determine the appropriate level of care needed, potentially saving an unnecessary ER visit.",Low-Moderate
1a02be49-b442-46a4-ac8b-c50bb174e6ad,A 55-year-old visitor from China on a cruise stopover. Visitor needs to purchase over-the-counter pain relief medication for a mild headache.,Pharmacy,Pharmacies carry a wide range of OTC medications including acetaminophen (Tylenol) and ibuprofen (Advil) for headache relief. No prescription needed.,Low
b041f996-af6d-43ca-aaec-d9a2783a8546,A 55-year-old visitor from China after a long-haul flight. Traveler without insurance needs to see a doctor for a non-emergency concern and cannot afford ER prices.,Community Health Clinic,"Federally Qualified Health Centers (FQHCs) provide care on a sliding fee scale based on income, making them accessible for uninsured visitors.",Low
8e23a773-0f2f-4330-9925-52a4f8ee8fd1,A 33-year-old tourist from Spain at a beach resort. Traveler needs blood work or basic lab tests but does not have health insurance.,Community Health Clinic,Community health centers can order and interpret basic lab tests on a sliding fee scale for uninsured patients.,Low
4362b906-67b6-4280-9216-15b54160a4e9,A 55-year-old visitor from China during a layover. Visitor wants medical advice about a mild skin rash that appeared during travel.,Telehealth Service,Telehealth dermatology services allow photo-based consultations for skin conditions. A provider can assess and prescribe treatment if needed.,Low
9dbdf016-ba26-49da-bbb1-6c3c33bee42d,A 22-year-old student from South Korea at a hotel. Traveler has had a sudden onset of severe headache described as 'the worst headache of their life.',Emergency Room (ER),A sudden severe headache can indicate a subarachnoid hemorrhage or other serious neurological event. Go to the ER immediately.,Critical
101c9c9f-6cfa-45e7-a418-0aec49812f68,A 22-year-old student from South Korea after a long-haul flight. Visitor needs antidiarrheal medication after stomach upset from travel.,Pharmacy,OTC medications like loperamide (Imodium) for diarrhea are available at any pharmacy without a prescription.,Low
bfac813d-ecc0-4f9f-9996-3b93f9611ed5,A 28-year-old traveler from Brazil during a layover. Traveler needs medical documentation or a sick note for travel insurance purposes.,Telehealth Service,"Telehealth physicians can provide medical documentation, letters, and notes during a virtual consultation.",Low
8093c066-f556-4ced-a9a8-278b8e91d910,A 55-year-old visitor from China at a hotel. Traveler has a sore throat and difficulty swallowing for two days with no breathing problems.,Urgent Care Center,"Urgent care can test for strep throat and prescribe antibiotics if needed, providing faster service than scheduling a primary care visit.",Low-Moderate
d83790b7-a340-494c-9a45-2ee3630ef1b6,"A 40-year-old visitor from Saudi Arabia at a shopping mall. Visitor slipped on wet floor and has wrist pain with minor swelling, no open wound.",Urgent Care Center,Urgent care can X-ray the wrist to rule out fractures and provide splinting or referral if needed.,Moderate
1752adf2-2aac-4676-bdfb-3471ec522a67,A 35-year-old business traveler from France during a layover. Visitor has a high fever of 104°F with stiff neck and sensitivity to light.,Emergency Room (ER),"High fever with neck stiffness and photophobia are classic signs of meningitis, a life-threatening condition. Go to the ER immediately.",Critical
9185db82-fd4f-478f-9538-9f6829fee12d,"A 47-year-old traveler from Portugal after a long-haul flight. Visitor fell and hit their head, briefly losing consciousness and now feeling confused.",Emergency Room (ER),Loss of consciousness and confusion after a head injury indicates possible concussion or traumatic brain injury requiring immediate ER evaluation.,Critical
ce33cac5-633e-4c74-8f9c-d32a6ab49c18,A 25-year-old traveler from India at a national park. Traveler has a persistent cough lasting 5 days with no shortness of breath or chest pain.,Urgent Care Center,"Urgent care can evaluate upper respiratory infections, prescribe cough suppressants, and rule out pneumonia with a chest X-ray.",Low-Moderate
9d14edca-8d94-43ce-bd25-98da1c6e0d64,A 33-year-old tourist from Spain at a beach resort. Visitor developed a mild rash after eating at a restaurant and is unsure of the cause.,Urgent Care Center,"Urgent care can evaluate mild allergic reactions and skin rashes, prescribe antihistamines, and rule out more serious conditions.",Moderate
1e978c63-054b-4f34-9820-9f5c904787c3,A 45-year-old visitor from Japan at a shopping mall. Traveler without insurance needs to see a doctor for a non-emergency concern and cannot afford ER prices.,Community Health Clinic,"Federally Qualified Health Centers (FQHCs) provide care on a sliding fee scale based on income, making them accessible for uninsured visitors.",Low
e401c73c-6f82-4a91-82f8-c2f4146a39b4,A 72-year-old retiree from Canada on a 2-week vacation. Traveler sustained a small cut on the hand while cooking that may need stitches.,Urgent Care Center,Urgent care can clean wounds and apply sutures or skin glue for lacerations that do not involve tendons or deep tissue.,Moderate
979bd707-270e-4bca-9570-062781d1d572,A 62-year-old tourist from Germany at an amusement park. Visitor needs a prescription transferred from their home country and filled locally.,Pharmacy,Pharmacists can advise on whether foreign prescriptions can be accepted (policies vary by state). A telehealth or urgent care visit may be needed to get a US prescription.,Low-Moderate
517acf01-cb8a-47ff-b7af-b440b5f5f600,"A 25-year-old traveler from India at a shopping mall. Traveler is experiencing signs of stroke: face drooping, arm weakness, slurred speech.",Emergency Room (ER),"FAST symptoms (Face drooping, Arm weakness, Speech difficulty, Time to call 911) indicate a stroke. Every minute counts — call 911 immediately.",Critical
a249304b-3b6e-4701-98fb-8c9083ddbf77,A 33-year-old tourist from Spain after a long-haul flight. Visitor needs to purchase over-the-counter pain relief medication for a mild headache.,Pharmacy,Pharmacies carry a wide range of OTC medications including acetaminophen (Tylenol) and ibuprofen (Advil) for headache relief. No prescription needed.,Low
ee6bad94-5491-47d3-8ad4-809cb4921092,A 45-year-old visitor from Japan on a student exchange program. Traveler needs a prescription renewal for a chronic condition medication they take regularly.,Telehealth Service,Telehealth providers can evaluate ongoing chronic conditions and issue prescription renewals in most states. This is the most convenient option for travelers.,Low-Moderate
86062263-1d58-40cf-b4b5-650d0c98ff80,A 45-year-old visitor from Japan during a road trip. Visitor wants motion sickness medication before a cruise or long road trip.,Pharmacy,OTC options like dimenhydrinate (Dramamine) or meclizine are available at pharmacies for motion sickness prevention.,Low
321ef3e5-39a7-47f8-85ed-76f8a00505a5,A 28-year-old traveler from Brazil at a beach resort. Visitor has been vomiting for several hours after eating street food and feels dehydrated.,Urgent Care Center,Food poisoning with mild-to-moderate dehydration can be treated at urgent care with IV fluids if needed. Go to the ER if symptoms worsen severely.,Moderate
38f62fb9-068b-4e25-b620-fb9739f7402c,A 19-year-old student from Mexico at an Airbnb rental. Visitor has a minor ankle sprain after sightseeing and is experiencing mild swelling and pain.,Urgent Care Center,"An urgent care center can assess musculoskeletal injuries like sprains, provide X-rays if needed, and offer wrap/brace support without the long ER wait times or high costs.",Moderate
80d70cfe-3f7c-40ed-88d2-8177412572d8,"A 50-year-old visitor from the UK at a national park. Visitor has a broken bone with visible deformity after a fall, and extreme pain.",Emergency Room (ER),"Suspected fractures with deformity require ER evaluation for imaging, realignment, and possible casting or surgical intervention.",High
