term_id,term,simple_explanation,visitor_friendly_explanation
607fef3c-a613-43cf-a7f9-0e99e1e7ae9c,Explanation of Benefits (EOB),A document from your insurance company explaining what was covered and what you owe after a medical service.,"After a doctor visit, your insurance sends you a summary letter (EOB) that breaks down: what the doctor charged, what the insurance paid, and what you still owe. It is not a bill — it's a record."
beff8a82-dc8e-4e58-9230-8fd98a624226,Urgent Care Center,A walk-in clinic for non-life-threatening illnesses and injuries that need same-day attention.,"Urgent care is the 'middle ground' between your doctor and the ER. Great for a sprained ankle, fever, ear infection, or minor cuts. No appointment needed, costs much less than the ER, and wait times are usually shorter."
c11facee-77a7-447c-a1a8-777ccfbf9289,Emergency Medical Evacuation,Transportation of a patient to the nearest appropriate medical facility or back to their home country when local treatment is unavailable or insufficient.,"If you are seriously ill or injured and need to be flown home or to a better-equipped hospital, this is called a medical evacuation. Some travel insurance plans cover this, which can cost $50,000 to $200,000 without insurance."
8fbe5dae-ac2c-4f66-b054-67e5cc6f4f27,Out-of-Pocket Maximum,The most you will have to pay for covered services in a plan year before your insurance pays 100% of covered costs.,"This is your financial safety net. Once you've spent a certain amount of money on healthcare in a year (e.g., $6,000), your insurance covers 100% of additional covered costs for the rest of the year."
7f6c2ac6-e47c-4ce0-8589-c58c909e62ed,Triage,The process of sorting patients based on the urgency of their medical needs to prioritize treatment.,"When you arrive at an ER or urgent care, a nurse will quickly assess how sick you are — this is called triage. The most critical patients are seen first, regardless of arrival order. This is why someone who arrives after you may be seen before you."
17bfb619-84b1-4ea4-9624-08bc9d00b299,EpiPen,A brand-name auto-injector device containing epinephrine used to treat severe allergic reactions.,"An EpiPen is an emergency device that injects epinephrine (adrenaline) into your thigh to rapidly reverse severe allergic reactions. If prescribed one by your doctor, always carry it while traveling. After use, go to the ER immediately."
06adcf7d-6bde-4337-8364-623184346408,Out-of-Network Provider,"A healthcare provider who does not have a contract with your insurance company, often resulting in higher costs for the patient.","If you visit a doctor or hospital that your insurance hasn't partnered with, you're going 'out of network.' This usually means much higher bills and your insurance may pay very little or nothing."
7f5922bd-17c5-428f-919d-6fefb10f2805,Walk-in Clinic,A medical clinic that accepts patients without a prior appointment.,Walk-in clinics let you see a doctor without scheduling ahead. Most urgent care centers and some pharmacies operate as walk-in clinics. Ideal for travelers with unpredictable schedules.
46d64471-6119-4e2a-85a3-7913d345708b,Copay,"A fixed dollar amount you pay for a covered healthcare service, usually at the time of service.","Think of a copay like a fixed entry fee. For example, you might pay $30 every time you visit a doctor, regardless of what happens during the appointment. Your insurance covers the rest of the bill."
97b90a33-d025-40ee-9a9d-f1637e5068f0,Out-of-Network Provider,"A healthcare provider who does not have a contract with your insurance company, often resulting in higher costs for the patient.","If you visit a doctor or hospital that your insurance hasn't partnered with, you're going 'out of network.' This usually means much higher bills and your insurance may pay very little or nothing."
42851783-6b91-4bda-be3e-b16c4debacf5,Discharge Instructions,"Written guidelines provided to patients when leaving a medical facility explaining follow-up care, medications, and warning signs.","When you leave a clinic or ER, staff will give you discharge instructions — a printed sheet explaining what happened, what medications to take, activities to avoid, and warning signs that mean you should return or call a doctor."
837dfebb-c6d4-4031-a983-4c33e4880f46,Sliding Scale Fee,A payment system where the cost of services is adjusted based on a patient's income level.,"Some community health clinics charge based on what you can afford — the less you earn, the less you pay. This is called a sliding scale fee. Uninsured visitors with limited funds can access real medical care this way."
6d230fbc-256b-4928-ade4-54d7eb703f04,911,"The universal emergency telephone number in the United States for police, fire, and medical emergencies.","In any life-threatening emergency in the US, call 911 from any phone (even without a SIM card or credit). Dispatchers are available 24/7 and can send police, fire, or ambulance services immediately. Calls are free."
a9eac225-db4e-4997-9f15-44cc608bdab4,Community Health Clinic,"A nonprofit or government-funded clinic providing affordable primary care to all patients, including uninsured individuals, often on a sliding fee scale.","Community health clinics serve everyone, including visitors without insurance. Your fee is based on what you can afford. They provide real medical care — not just charity — including lab tests, chronic disease management, and preventive care."
d6d15edf-0681-4118-a539-da1a499c7656,Emergency Room (ER),"A hospital department providing immediate care for life-threatening medical emergencies, available 24 hours a day, 7 days a week.","The ER is for true emergencies — situations where your life or a limb is at risk. Think: heart attack, stroke, severe allergic reaction, or major accident. Going to the ER for a mild illness is very expensive and involves long waits."
3b7e75f3-4d6c-4be3-9fa8-2fadf69fc3a7,Formulary,A list of prescription medications covered by an insurance plan.,"Your insurance plan has a list of approved medications it will help pay for — this list is called a formulary. If your medication is not on the list, you may have to pay full price or ask your doctor for an alternative that is covered."
ad6db7f6-f7a4-40da-82e6-a719d90c6381,Vital Signs,"Measurements of basic body functions including temperature, blood pressure, pulse rate, and breathing rate.","When you visit any clinic, a nurse will check your vital signs first: your temperature, blood pressure, heart rate, and how fast you breathe. These basic measurements help the doctor understand your overall health state."
e78eb78e-9017-4b07-811d-090285d5e90c,Out-of-Pocket Maximum,The most you will have to pay for covered services in a plan year before your insurance pays 100% of covered costs.,"This is your financial safety net. Once you've spent a certain amount of money on healthcare in a year (e.g., $6,000), your insurance covers 100% of additional covered costs for the rest of the year."
aa01e828-b6d7-43a7-a4b7-2b7ee834259c,Poison Control Center,"A medical resource providing free, confidential guidance for poisoning emergencies 24 hours a day.","If someone swallows a harmful substance, call the US Poison Control hotline at 1-800-222-1222. This free service is available 24/7 and connects you with toxicology experts who can guide you on whether you need to go to the ER."
6f2ba9f4-c155-4898-899f-0783830d3619,Out-of-Pocket Maximum,The most you will have to pay for covered services in a plan year before your insurance pays 100% of covered costs.,"This is your financial safety net. Once you've spent a certain amount of money on healthcare in a year (e.g., $6,000), your insurance covers 100% of additional covered costs for the rest of the year."
1356f78f-e3ec-41fa-92a8-80a7b0ef5df2,Lab Work / Blood Work,"Medical tests performed on blood, urine, or other body fluids to assess health status or diagnose conditions.","When a doctor orders 'labs' or 'blood work,' a small blood or urine sample is collected and analyzed. Results help the doctor understand what is happening in your body, such as checking for infection or monitoring organ function."
fc653ce6-daf8-45e8-8344-62d70cecd537,Copay,"A fixed dollar amount you pay for a covered healthcare service, usually at the time of service.","Think of a copay like a fixed entry fee. For example, you might pay $30 every time you visit a doctor, regardless of what happens during the appointment. Your insurance covers the rest of the bill."
a85f2cff-4eb7-4123-ac7c-1799b8f89fd1,Health Savings Account (HSA),A tax-advantaged savings account used to pay for qualified medical expenses.,"An HSA is a special savings account where you set aside pre-tax money specifically to pay for medical expenses like copays, medications, and dental visits. Only available with high-deductible health plans."
9292f2d3-cd7a-4568-950a-0d2af6b7f9f8,X-Ray,A medical imaging test using radiation to visualize bones and certain internal structures.,An X-ray is a quick imaging test used to check for broken bones or other internal issues. Most urgent care centers have X-ray equipment on-site. Results are usually available within minutes.
568337fc-78fa-4f12-93ab-6758df151f3e,Vital Signs,"Measurements of basic body functions including temperature, blood pressure, pulse rate, and breathing rate.","When you visit any clinic, a nurse will check your vital signs first: your temperature, blood pressure, heart rate, and how fast you breathe. These basic measurements help the doctor understand your overall health state."
01e9370a-3ac9-42f9-be13-413e9debb8a1,Emergency Medical Evacuation,Transportation of a patient to the nearest appropriate medical facility or back to their home country when local treatment is unavailable or insufficient.,"If you are seriously ill or injured and need to be flown home or to a better-equipped hospital, this is called a medical evacuation. Some travel insurance plans cover this, which can cost $50,000 to $200,000 without insurance."
fc54c0e6-9736-4f1d-8993-6c0242f7683f,Lab Work / Blood Work,"Medical tests performed on blood, urine, or other body fluids to assess health status or diagnose conditions.","When a doctor orders 'labs' or 'blood work,' a small blood or urine sample is collected and analyzed. Results help the doctor understand what is happening in your body, such as checking for infection or monitoring organ function."
7f3b063f-4ead-491a-9a57-b04a5e8d4583,Explanation of Benefits (EOB),A document from your insurance company explaining what was covered and what you owe after a medical service.,"After a doctor visit, your insurance sends you a summary letter (EOB) that breaks down: what the doctor charged, what the insurance paid, and what you still owe. It is not a bill — it's a record."
08204943-90cf-4e8b-b43b-db48698f1dfb,Coinsurance,"After meeting your deductible, the percentage of healthcare costs you share with your insurance company.","After you've met your deductible, coinsurance means you and your insurance both share the remaining bill. For example, with 80/20 coinsurance, your insurance pays 80% and you pay 20% of each bill."
1f00658e-7846-41bd-aa05-943382e8b8f4,Explanation of Benefits (EOB),A document from your insurance company explaining what was covered and what you owe after a medical service.,"After a doctor visit, your insurance sends you a summary letter (EOB) that breaks down: what the doctor charged, what the insurance paid, and what you still owe. It is not a bill — it's a record."
d55084a3-260a-48d0-854e-3c037a4fdc78,EpiPen,A brand-name auto-injector device containing epinephrine used to treat severe allergic reactions.,"An EpiPen is an emergency device that injects epinephrine (adrenaline) into your thigh to rapidly reverse severe allergic reactions. If prescribed one by your doctor, always carry it while traveling. After use, go to the ER immediately."
d2b3dd70-834f-4065-8ee4-183a40b69f2a,Community Health Clinic,"A nonprofit or government-funded clinic providing affordable primary care to all patients, including uninsured individuals, often on a sliding fee scale.","Community health clinics serve everyone, including visitors without insurance. Your fee is based on what you can afford. They provide real medical care — not just charity — including lab tests, chronic disease management, and preventive care."
f872defa-5f9e-444e-a443-499ede28d7a5,Formulary,A list of prescription medications covered by an insurance plan.,"Your insurance plan has a list of approved medications it will help pay for — this list is called a formulary. If your medication is not on the list, you may have to pay full price or ask your doctor for an alternative that is covered."
e7f41c50-370d-4598-803d-9b813816c4c4,Generic Medication,"A medication that contains the same active ingredient as a brand-name drug, sold at a lower price after the brand's patent expires.","Generic drugs work exactly the same as brand-name drugs but cost significantly less. If your doctor prescribes a brand-name drug, ask the pharmacist if a generic version is available — it can save you a lot of money."
4e6077fd-e2a9-4065-bfd5-9f200fef119c,Specialist,"A physician with advanced training in a specific area of medicine, such as cardiology, dermatology, or orthopedics.","Specialists are expert doctors focused on one body system or condition. As a visitor, you would typically need a referral from an urgent care or primary care doctor to see a specialist, which may take days or weeks to schedule."
24d02c82-0640-4cee-b366-d630a1dfb70d,Medical ID Bracelet,A bracelet worn by individuals with serious medical conditions or allergies to alert emergency responders.,"A medical ID bracelet contains critical health information (like severe allergies or chronic conditions) that emergency responders check if you are unconscious. If you have a serious condition, wearing one while traveling in the US could save your life."
d8b7dd38-6b3d-475d-89e4-b37d4e85ea15,EpiPen,A brand-name auto-injector device containing epinephrine used to treat severe allergic reactions.,"An EpiPen is an emergency device that injects epinephrine (adrenaline) into your thigh to rapidly reverse severe allergic reactions. If prescribed one by your doctor, always carry it while traveling. After use, go to the ER immediately."
1a92fd3c-3249-4612-bfc0-a8efa46d609e,Vital Signs,"Measurements of basic body functions including temperature, blood pressure, pulse rate, and breathing rate.","When you visit any clinic, a nurse will check your vital signs first: your temperature, blood pressure, heart rate, and how fast you breathe. These basic measurements help the doctor understand your overall health state."
e3f8037c-7afc-4796-913d-47e93fe2d843,Emergency Medical Evacuation,Transportation of a patient to the nearest appropriate medical facility or back to their home country when local treatment is unavailable or insufficient.,"If you are seriously ill or injured and need to be flown home or to a better-equipped hospital, this is called a medical evacuation. Some travel insurance plans cover this, which can cost $50,000 to $200,000 without insurance."
ee8cc026-2398-43b4-9d58-1c0f1a8ec33d,Medical ID Bracelet,A bracelet worn by individuals with serious medical conditions or allergies to alert emergency responders.,"A medical ID bracelet contains critical health information (like severe allergies or chronic conditions) that emergency responders check if you are unconscious. If you have a serious condition, wearing one while traveling in the US could save your life."
cbf5dfaa-7127-4bc8-8e66-e0930711d706,In-Network Provider,A healthcare provider or facility that has a contract with your insurance company to provide services at negotiated rates.,"Your insurance has 'preferred' doctors and hospitals it has deals with, called in-network providers. Visiting these providers costs you much less than going to out-of-network providers who don't have a deal with your insurer."
7a317b1c-38c2-467e-8fef-589bec4b2e20,Community Health Clinic,"A nonprofit or government-funded clinic providing affordable primary care to all patients, including uninsured individuals, often on a sliding fee scale.","Community health clinics serve everyone, including visitors without insurance. Your fee is based on what you can afford. They provide real medical care — not just charity — including lab tests, chronic disease management, and preventive care."
dd1e0033-3f82-4497-ba58-4a95170efacd,Health Savings Account (HSA),A tax-advantaged savings account used to pay for qualified medical expenses.,"An HSA is a special savings account where you set aside pre-tax money specifically to pay for medical expenses like copays, medications, and dental visits. Only available with high-deductible health plans."
428ebab1-c6ff-4150-aea1-2235770fffb2,Walk-in Clinic,A medical clinic that accepts patients without a prior appointment.,Walk-in clinics let you see a doctor without scheduling ahead. Most urgent care centers and some pharmacies operate as walk-in clinics. Ideal for travelers with unpredictable schedules.
b010f869-34c9-408b-a167-ca09eff11bd5,Prescription Medication,Medication that legally requires a written order from a licensed healthcare provider before it can be dispensed by a pharmacist.,"Some medications are prescription-only, meaning a US doctor must authorize them before a pharmacy will give them to you. If you need a prescription from home refilled, you may need a telehealth or urgent care visit to get a US prescription."
2794e629-8f0f-4922-81ad-4f8e6811787e,Discharge Instructions,"Written guidelines provided to patients when leaving a medical facility explaining follow-up care, medications, and warning signs.","When you leave a clinic or ER, staff will give you discharge instructions — a printed sheet explaining what happened, what medications to take, activities to avoid, and warning signs that mean you should return or call a doctor."
3478b093-1f79-49d7-ac99-4c60108fba89,Urgent Care Center,A walk-in clinic for non-life-threatening illnesses and injuries that need same-day attention.,"Urgent care is the 'middle ground' between your doctor and the ER. Great for a sprained ankle, fever, ear infection, or minor cuts. No appointment needed, costs much less than the ER, and wait times are usually shorter."
c8653ce7-ee59-4207-afbf-0611bb85f469,CT Scan,A computed tomography scan that uses X-rays to create detailed cross-sectional images of the body.,"A CT scan produces detailed images of your internal organs, bones, and tissues. It is more detailed than a standard X-ray and is typically done at a hospital or emergency setting for more serious conditions."
a556dfa9-20dc-4012-8b02-87f9a76142ba,Community Health Clinic,"A nonprofit or government-funded clinic providing affordable primary care to all patients, including uninsured individuals, often on a sliding fee scale.","Community health clinics serve everyone, including visitors without insurance. Your fee is based on what you can afford. They provide real medical care — not just charity — including lab tests, chronic disease management, and preventive care."
713d8cf7-86f1-4570-82a9-a1d5d38446fc,Out-of-Network Provider,"A healthcare provider who does not have a contract with your insurance company, often resulting in higher costs for the patient.","If you visit a doctor or hospital that your insurance hasn't partnered with, you're going 'out of network.' This usually means much higher bills and your insurance may pay very little or nothing."
b74c77ef-e4c7-42b0-852a-dcdc068e838b,EMTALA,"A US federal law requiring hospitals with ERs to provide stabilizing emergency care to any person, regardless of their ability to pay or insurance status.","In the US, any hospital emergency room must treat you for a life-threatening emergency regardless of whether you have insurance or money. You will receive a bill afterward, but you cannot be turned away from emergency care."
4d370eca-6941-4ae9-9fed-037e134174f3,GoodRx,A free US-based prescription discount service that provides coupons to reduce the cost of medications at participating pharmacies.,GoodRx is a free app or website (goodrx.com) that gives you discount coupons for prescription medications at US pharmacies. Uninsured visitors can often save 60–80% on medications using GoodRx. No insurance required.
93a39f44-65f3-4c6d-8422-b44f03e593a4,Lab Work / Blood Work,"Medical tests performed on blood, urine, or other body fluids to assess health status or diagnose conditions.","When a doctor orders 'labs' or 'blood work,' a small blood or urine sample is collected and analyzed. Results help the doctor understand what is happening in your body, such as checking for infection or monitoring organ function."
bdca71aa-aee1-49a8-9dbd-c7f71cbd5e61,Travel Insurance,"Insurance purchased before a trip that can cover medical emergencies, trip cancellations, and other unexpected events during travel.","Travel insurance is your financial safety net while traveling internationally. If you get sick or injured in the US, it can help cover your hospital bills, emergency transport, and even medical evacuation back to your home country."
d8604a64-027d-4b20-8471-0c2a52a484bb,Urgent Care Center,A walk-in clinic for non-life-threatening illnesses and injuries that need same-day attention.,"Urgent care is the 'middle ground' between your doctor and the ER. Great for a sprained ankle, fever, ear infection, or minor cuts. No appointment needed, costs much less than the ER, and wait times are usually shorter."
37c8cf6c-401d-4515-9234-1f5c4e0a6d26,Coinsurance,"After meeting your deductible, the percentage of healthcare costs you share with your insurance company.","After you've met your deductible, coinsurance means you and your insurance both share the remaining bill. For example, with 80/20 coinsurance, your insurance pays 80% and you pay 20% of each bill."
508d19e7-dba5-411d-97a3-0a79b8599d2a,Anaphylaxis,"A severe, life-threatening allergic reaction requiring immediate epinephrine injection.","Anaphylaxis is the most severe form of allergic reaction. Symptoms include throat swelling, hives, dropping blood pressure, and difficulty breathing. This is always a 911/ER emergency. If you carry an EpiPen, use it immediately."
2f3a9ccc-4ed5-4934-8674-9187afb92046,CT Scan,A computed tomography scan that uses X-rays to create detailed cross-sectional images of the body.,"A CT scan produces detailed images of your internal organs, bones, and tissues. It is more detailed than a standard X-ray and is typically done at a hospital or emergency setting for more serious conditions."
e0d56c03-d692-422c-9f2a-6587c6614c74,Ambulance,An emergency vehicle equipped to provide medical care and transport patients to a hospital.,"Calling 911 for a medical emergency will dispatch an ambulance. Be aware that ambulance rides in the US are expensive — often $1,000 to $3,000. For non-life-threatening situations, arranging your own transportation to urgent care is more cost-effective."
4403fa72-8a8d-444a-b358-6758e586d9d1,Out-of-Pocket Maximum,The most you will have to pay for covered services in a plan year before your insurance pays 100% of covered costs.,"This is your financial safety net. Once you've spent a certain amount of money on healthcare in a year (e.g., $6,000), your insurance covers 100% of additional covered costs for the rest of the year."
ae4b8cb5-d66f-4f55-b366-91b79476eeee,Explanation of Benefits (EOB),A document from your insurance company explaining what was covered and what you owe after a medical service.,"After a doctor visit, your insurance sends you a summary letter (EOB) that breaks down: what the doctor charged, what the insurance paid, and what you still owe. It is not a bill — it's a record."
31c57950-0f9a-45da-85b5-bed619c0202e,Sliding Scale Fee,A payment system where the cost of services is adjusted based on a patient's income level.,"Some community health clinics charge based on what you can afford — the less you earn, the less you pay. This is called a sliding scale fee. Uninsured visitors with limited funds can access real medical care this way."
f2801977-cde5-4ec4-8cc0-b77d24967b8e,Poison Control Center,"A medical resource providing free, confidential guidance for poisoning emergencies 24 hours a day.","If someone swallows a harmful substance, call the US Poison Control hotline at 1-800-222-1222. This free service is available 24/7 and connects you with toxicology experts who can guide you on whether you need to go to the ER."
d07015b5-1ad3-4cec-a960-bc42be01f85c,Sutures (Stitches),Threads used by medical professionals to close wounds.,"If you have a deep cut, a doctor may use sutures (stitches) to close the wound. This is typically done at urgent care or the ER. After treatment, you will receive instructions on keeping the wound clean and when to have stitches removed."
739212fb-195a-48be-9327-3357db4ce930,Specialist,"A physician with advanced training in a specific area of medicine, such as cardiology, dermatology, or orthopedics.","Specialists are expert doctors focused on one body system or condition. As a visitor, you would typically need a referral from an urgent care or primary care doctor to see a specialist, which may take days or weeks to schedule."
9b87d772-4407-4c2d-8341-6ca3248fa497,Walk-in Clinic,A medical clinic that accepts patients without a prior appointment.,Walk-in clinics let you see a doctor without scheduling ahead. Most urgent care centers and some pharmacies operate as walk-in clinics. Ideal for travelers with unpredictable schedules.
397841b4-96ba-412d-9a53-6a9e084512f7,911,"The universal emergency telephone number in the United States for police, fire, and medical emergencies.","In any life-threatening emergency in the US, call 911 from any phone (even without a SIM card or credit). Dispatchers are available 24/7 and can send police, fire, or ambulance services immediately. Calls are free."
975dbb2e-d873-4297-87ab-05cd184ef20d,Formulary,A list of prescription medications covered by an insurance plan.,"Your insurance plan has a list of approved medications it will help pay for — this list is called a formulary. If your medication is not on the list, you may have to pay full price or ask your doctor for an alternative that is covered."
525e1c06-6179-4364-92b5-bab6f538c8c0,GoodRx,A free US-based prescription discount service that provides coupons to reduce the cost of medications at participating pharmacies.,GoodRx is a free app or website (goodrx.com) that gives you discount coupons for prescription medications at US pharmacies. Uninsured visitors can often save 60–80% on medications using GoodRx. No insurance required.
3270f49e-d6c8-478a-9bc9-4825c1652567,In-Network Provider,A healthcare provider or facility that has a contract with your insurance company to provide services at negotiated rates.,"Your insurance has 'preferred' doctors and hospitals it has deals with, called in-network providers. Visiting these providers costs you much less than going to out-of-network providers who don't have a deal with your insurer."
b50bf1ef-9300-433d-b9b5-ec59d8a77f53,Triage,The process of sorting patients based on the urgency of their medical needs to prioritize treatment.,"When you arrive at an ER or urgent care, a nurse will quickly assess how sick you are — this is called triage. The most critical patients are seen first, regardless of arrival order. This is why someone who arrives after you may be seen before you."
383ab2b1-4cd4-4549-ac94-20acbc290a7b,Urgent Care Center,A walk-in clinic for non-life-threatening illnesses and injuries that need same-day attention.,"Urgent care is the 'middle ground' between your doctor and the ER. Great for a sprained ankle, fever, ear infection, or minor cuts. No appointment needed, costs much less than the ER, and wait times are usually shorter."
af6e73a8-e460-4de7-8593-ab700b5edd95,Vital Signs,"Measurements of basic body functions including temperature, blood pressure, pulse rate, and breathing rate.","When you visit any clinic, a nurse will check your vital signs first: your temperature, blood pressure, heart rate, and how fast you breathe. These basic measurements help the doctor understand your overall health state."
8f4503a1-3b5b-4258-b3c1-fd3b1a2f6ffb,Explanation of Benefits (EOB),A document from your insurance company explaining what was covered and what you owe after a medical service.,"After a doctor visit, your insurance sends you a summary letter (EOB) that breaks down: what the doctor charged, what the insurance paid, and what you still owe. It is not a bill — it's a record."
6a8d2f89-1ea3-4e8a-9218-e7bcc96d40d5,Telehealth,"Medical consultations, diagnoses, and prescriptions delivered remotely via video call, phone, or messaging.","Telehealth lets you see a licensed US doctor from your phone or computer without going anywhere. Perfect for travelers who need a prescription refill, advice for a mild illness, or mental health support."
a5323951-e81e-4ec1-9828-a9f508e8e7b2,Specialist,"A physician with advanced training in a specific area of medicine, such as cardiology, dermatology, or orthopedics.","Specialists are expert doctors focused on one body system or condition. As a visitor, you would typically need a referral from an urgent care or primary care doctor to see a specialist, which may take days or weeks to schedule."
368caa63-05c0-4a2f-960f-f5f729cc9a7a,Explanation of Benefits (EOB),A document from your insurance company explaining what was covered and what you owe after a medical service.,"After a doctor visit, your insurance sends you a summary letter (EOB) that breaks down: what the doctor charged, what the insurance paid, and what you still owe. It is not a bill — it's a record."
68cace06-ff40-4b8f-ae70-ac7715b1e2d0,Primary Care Physician (PCP),"A doctor who provides general, preventive, and ongoing health care and is typically your first point of contact in the healthcare system.","Your PCP is your regular 'family doctor' who knows your medical history and helps manage your overall health. For international visitors, getting a PCP appointment quickly can be difficult — urgent care or telehealth are better options for immediate needs."
2cb1ae63-4fbd-4a38-bb61-146f5b032a4f,Referral,A formal recommendation from one healthcare provider directing a patient to see another provider or specialist.,"If your urgent care doctor believes you need to see a specialist (e.g., a heart doctor or bone specialist), they will give you a referral — a formal recommendation to schedule an appointment with that specialist."
de44cc0a-ffe4-4684-86c7-8757f8476f0d,Health Savings Account (HSA),A tax-advantaged savings account used to pay for qualified medical expenses.,"An HSA is a special savings account where you set aside pre-tax money specifically to pay for medical expenses like copays, medications, and dental visits. Only available with high-deductible health plans."
5fb7c518-6e5b-4f93-852f-2e332a6ec65c,Emergency Room (ER),"A hospital department providing immediate care for life-threatening medical emergencies, available 24 hours a day, 7 days a week.","The ER is for true emergencies — situations where your life or a limb is at risk. Think: heart attack, stroke, severe allergic reaction, or major accident. Going to the ER for a mild illness is very expensive and involves long waits."
1657a6f1-dd59-4338-a056-a2ec1dc7f240,Medical History,"A record of a patient's past and current health conditions, surgeries, medications, allergies, and family health history.","When you see a doctor in the US, they will ask about your medical history — past illnesses, surgeries, current medications, and allergies. Bring a written summary in English if possible, especially if you have chronic conditions."
ecb68fe2-c826-4d49-b23d-e6fd76fc3b01,CT Scan,A computed tomography scan that uses X-rays to create detailed cross-sectional images of the body.,"A CT scan produces detailed images of your internal organs, bones, and tissues. It is more detailed than a standard X-ray and is typically done at a hospital or emergency setting for more serious conditions."
8c0da543-e05e-46c0-8016-b227fa255c8d,Health Savings Account (HSA),A tax-advantaged savings account used to pay for qualified medical expenses.,"An HSA is a special savings account where you set aside pre-tax money specifically to pay for medical expenses like copays, medications, and dental visits. Only available with high-deductible health plans."
3169253a-4985-4b91-b211-2868109913ae,Generic Medication,"A medication that contains the same active ingredient as a brand-name drug, sold at a lower price after the brand's patent expires.","Generic drugs work exactly the same as brand-name drugs but cost significantly less. If your doctor prescribes a brand-name drug, ask the pharmacist if a generic version is available — it can save you a lot of money."
7d07dd8b-e3b8-4348-a79c-e9c03c1ddd0c,Poison Control Center,"A medical resource providing free, confidential guidance for poisoning emergencies 24 hours a day.","If someone swallows a harmful substance, call the US Poison Control hotline at 1-800-222-1222. This free service is available 24/7 and connects you with toxicology experts who can guide you on whether you need to go to the ER."
c92117ba-4a54-4384-a3be-860f61f9e253,Generic Medication,"A medication that contains the same active ingredient as a brand-name drug, sold at a lower price after the brand's patent expires.","Generic drugs work exactly the same as brand-name drugs but cost significantly less. If your doctor prescribes a brand-name drug, ask the pharmacist if a generic version is available — it can save you a lot of money."
ead02977-e1a1-4b3a-b4d1-4f328a3569b9,Anaphylaxis,"A severe, life-threatening allergic reaction requiring immediate epinephrine injection.","Anaphylaxis is the most severe form of allergic reaction. Symptoms include throat swelling, hives, dropping blood pressure, and difficulty breathing. This is always a 911/ER emergency. If you carry an EpiPen, use it immediately."
