phrase_id,language,phrase,english_translation,category
41356770-6dc2-4a64-b96f-292c07d33344,French,J'ai de la fièvre.,I have a fever.,Symptoms
fc07f79c-1e23-4519-b2d9-e181d1b6a70c,Portuguese,Isso é uma emergência.,This is an emergency.,Emergency
56cbbfb6-472a-482b-93c5-cd33d758542a,Portuguese,Sou alérgico/a à penicilina.,I am allergic to penicillin.,Symptoms
9fe62f62-cfd9-40cd-8663-53f42d23bab5,Portuguese,Qual é o custo desta consulta?,What is the cost of this visit?,Insurance
653d4112-8491-4ecb-b2a7-37d3bed6f007,Spanish,¿Cómo llego al hospital?,How do I get to the hospital?,Navigation
d236d603-3f02-406d-8947-7e25b0f3f723,Japanese,これは緊急事態です。,This is an emergency.,Emergency
73464fc3-54c8-411c-9d81-c63ddca8587a,Chinese,我需要紧急帮助。,I need emergency help.,Emergency
f41a46ca-a0ad-49e9-b0cc-59976c433bfa,French,Où se trouve le centre de soins urgents le plus proche?,Where is the nearest urgent care center?,Navigation
86363a10-aa8e-483f-9292-657ddfc43447,Japanese,英語が話せません。,I do not speak English.,Communication
3de479e7-c6ac-43a4-a084-5c4da784e257,Japanese,救急車が必要です。,I need an ambulance.,Emergency
5a03aff3-6b85-44d6-8c39-03c98c80f0bb,Arabic,لا أفهم.,I do not understand.,Communication
750b4667-c1a8-4b03-8a0a-5a6e0c70edbe,Portuguese,Preciso de uma ambulância.,I need an ambulance.,Emergency
11a25b37-a478-4647-95f3-099ae8d00ecf,English,Where is the nearest urgent care center?,Where is the nearest urgent care center?,Navigation
a576c7be-3cab-493d-abb4-a440a74db856,Chinese,请说慢点。,Please speak slowly.,Communication
623a6557-1b00-4a6e-b5f6-759117a76eb5,Arabic,لا أفهم.,I do not understand.,Communication
03ee7efc-6dfb-407d-8248-8f36a520125d,Portuguese,Posso pagar do meu próprio bolso?,Can I pay out of pocket?,Insurance
b10dbde1-35bd-4958-95ff-14c6661f7eb4,Chinese,你们有这种药吗？,Do you have this medication?,Medication
53c7fb98-134b-4761-8d28-c2c4d8c64011,Japanese,英語が話せません。,I do not speak English.,Communication
efdb8144-3747-45c6-b8c8-84e099ef203d,Portuguese,Você tem este medicamento?,Do you have this medication?,Medication
1903f421-33d3-4ae6-9941-b977bb1ae6a2,Chinese,有会说我语言的医生吗？,Is there a doctor who speaks my language?,Navigation
9e54261f-3d48-4241-a995-ddb8b02c2e9c,Portuguese,Onde posso encontrar uma farmácia?,Where can I find a pharmacy?,Medication
91e38367-412f-41b9-a59f-093e25f1b8b2,English,"Help me, I am very sick.","Help me, I am very sick.",Emergency
7cc790d3-3c96-485b-9f7b-3ca444de69de,Japanese,海外の保険は使えますか？,Do you accept international insurance?,Insurance
44a9b554-0ffa-4d2c-b720-91f02b9a0b3a,Chinese,我发烧了。,I have a fever.,Symptoms
9d9495f0-6e88-4cca-8ee9-95c3543185e4,French,J'ai besoin d'un renouvellement d'ordonnance.,I need a prescription refill.,Medication
1e198f7f-285c-44ef-b9e5-b42c4e058429,Spanish,¿Tiene un intérprete?,Do you have an interpreter?,Communication
bce7a90a-cf04-4091-8ff5-c22adf6afa28,Chinese,最近的急诊室在哪里？,Where is the nearest emergency room?,Navigation
fe0317b3-3001-4cf5-b957-fb9b52ab2565,Portuguese,Você tem um intérprete?,Do you have an interpreter?,Communication
1f8707b4-5e98-4bd4-a7d4-a328def9ea2e,Spanish,Perdí mi medicamento.,I lost my medication.,Medication
cc26b524-3f91-4eff-807e-95f54e5f6c66,Chinese,我没有保险。,I do not have insurance.,Insurance
a9b405c5-bace-46f5-bd3b-3537dcc6c062,Portuguese,Onde posso encontrar uma farmácia?,Where can I find a pharmacy?,Medication
b6fd0b25-1855-41b4-afb9-f91632329474,Arabic,ما هي تكلفة هذه الزيارة؟,What is the cost of this visit?,Insurance
2f88d63b-e490-4a7a-bfea-a3c5b47d38de,Portuguese,Onde fica o centro de atendimento urgente mais próximo?,Where is the nearest urgent care center?,Navigation
b458f3b8-4b77-46bd-92d0-f5172cec855c,Arabic,أحتاج إلى تجديد وصفتي الطبية.,I need a prescription refill.,Medication
68357cfa-945f-4ee8-9645-68b4a349fd89,English,I need a telehealth appointment.,I need a telehealth appointment.,Navigation
80af83c6-5390-4178-b14a-4f558d4f7ad8,Chinese,我感到头晕。,I feel dizzy.,Symptoms
4963134d-2801-4ec1-939e-ae937f38d254,Portuguese,Preciso de uma ambulância.,I need an ambulance.,Emergency
ad4faab1-67b0-4780-99b3-754367610656,Spanish,Llame al 911 por favor.,Call 911 please.,Emergency
9e2cb64f-5f44-44e8-b066-3348d70f8963,Portuguese,Vocês aceitam seguro internacional?,Do you accept international insurance?,Insurance
a4369cad-4ae4-4e96-a0aa-0e8b90e84d14,Portuguese,Qual é o custo desta consulta?,What is the cost of this visit?,Insurance
1d678041-fe65-475c-b69a-79725888d7dd,Arabic,هذه حالة طارئة.,This is an emergency.,Emergency
912ac281-bd97-4339-a8d2-181f2d971bb2,Japanese,この受診の費用はいくらですか？,What is the cost of this visit?,Insurance
671b462a-7fb8-4790-9254-62f1fb252f6c,French,Je ne parle pas anglais.,I do not speak English.,Communication
75fdc93f-5152-42ba-9dc5-c25ba0d1cc2c,Spanish,No entiendo.,I do not understand.,Communication
bec7f138-31ef-4b31-a378-1828368edfc3,Spanish,Por favor hable despacio.,Please speak slowly.,Communication
6aef69bc-f989-4a42-a321-fc8c455ab97a,Japanese,海外の保険は使えますか？,Do you accept international insurance?,Insurance
2974329e-3905-4169-b76e-f55de5637497,Chinese,你们有这种药吗？,Do you have this medication?,Medication
b90fd274-3423-4610-ac6e-1e861cd65a78,Spanish,Necesito renovar mi receta.,I need a prescription refill.,Medication
d9a82c41-10d1-4902-ab7f-929a06f46ddc,Portuguese,Tomo este medicamento diariamente.,I take this medication daily.,Medication
ba7f58a7-588a-41fc-ad34-eedb36ac6216,English,Can I pay out of pocket?,Can I pay out of pocket?,Insurance
5b38ec49-046c-47b9-9e63-6fd6490524cb,English,I have a fever.,I have a fever.,Symptoms
125b362b-75d4-452b-81fb-58e1e20d4dfb,Japanese,保険に入っていません。,I do not have insurance.,Insurance
3ce3b57d-bb92-469a-ba3a-72afbdf79599,Portuguese,Tenho inchaço.,I have swelling.,Symptoms
0a27306c-3070-4890-889d-534baf212c68,English,Where can I find a pharmacy?,Where can I find a pharmacy?,Medication
e78a9567-9a6b-4fe8-98d1-0f562d80350c,Spanish,¿Puedo pagar de mi bolsillo?,Can I pay out of pocket?,Insurance
ed813cfe-3fd0-4745-bef1-9cf352f91abe,Chinese,你们有这种药吗？,Do you have this medication?,Medication
6ed08de8-fc80-4628-8aad-e164d541e748,Japanese,最寄りの救急室はどこですか？,Where is the nearest emergency room?,Navigation
da599970-6926-41e1-a609-c16f4f6ecc6a,Arabic,أحتاج إلى موعد مع طبيب عبر الإنترنت.,I need a telehealth appointment.,Navigation
5736b27f-2230-4542-a548-0e6105c7a603,Portuguese,Por favor fale devagar.,Please speak slowly.,Communication
69d10029-6c2d-41d2-9078-c646a2ff919a,Chinese,你们有这种药吗？,Do you have this medication?,Medication
11487635-735d-4497-91d6-8dc0d7b1b96e,French,Où puis-je trouver une pharmacie?,Where can I find a pharmacy?,Medication
97e1419c-a1be-42cb-aa48-f28126fae228,Portuguese,Tenho uma erupção cutânea.,I have a rash.,Symptoms
2b42cbbf-b764-4793-9cf4-e89a24b3aed2,Japanese,この薬はありますか？,Do you have this medication?,Medication
0deecf71-913b-4147-a6b2-b88e36b9c040,Japanese,遠隔医療の予約が必要です。,I need a telehealth appointment.,Navigation
5cb71e13-87d3-4633-812b-8cbbd9587497,Chinese,请拨打911。,Call 911 please.,Emergency
c03e8f7c-58c6-46de-9234-6aec1493b952,English,Where is the nearest emergency room?,Where is the nearest emergency room?,Navigation
16feef3e-17b4-435e-901a-2b1587191127,Japanese,助けてください、とても具合が悪いです。,"Help me, I am very sick.",Emergency
86ff44a3-a2a9-41cc-bf35-acb5766a8f0f,Arabic,عندي طفح جلدي.,I have a rash.,Symptoms
50056ae7-2bf7-4dda-846d-1515590ebc47,English,This is an emergency.,This is an emergency.,Emergency
137be45f-2825-419d-8d79-fc9dfe780a22,Japanese,私の言語を話す医師はいますか？,Is there a doctor who speaks my language?,Navigation
d4c97c73-429e-43e6-9054-3556bea70e03,French,Comment est-ce que j'arrive à l'hôpital?,How do I get to the hospital?,Navigation
223ff12d-1786-4672-aedd-8148aa2d5a77,Portuguese,Você tem este medicamento?,Do you have this medication?,Medication
90315df3-ea21-4a22-a4cd-92722cc4eabf,Chinese,我需要远程医疗预约。,I need a telehealth appointment.,Navigation
8027a417-c569-4929-85ba-554dbb303028,Arabic,أين أقرب مركز للرعاية العاجلة؟,Where is the nearest urgent care center?,Navigation
cc97d309-bd61-4c52-bc85-c1403caca338,Chinese,请拨打911。,Call 911 please.,Emergency
fd7a917d-b77b-45a9-9964-752d6cfe8317,Arabic,فقدت دوائي.,I lost my medication.,Medication
05028545-0f08-4e85-8be7-d27ee42162d5,English,Where can I find a pharmacy?,Where can I find a pharmacy?,Medication
47016d07-21ef-4e5d-b04b-51b8ba265658,French,J'ai perdu mes médicaments.,I lost my medication.,Medication
4beae404-e855-4d93-8568-46bd8489894c,Japanese,毎日この薬を飲んでいます。,I take this medication daily.,Medication
8718311a-1dbe-4296-bd98-c470a5a34c7a,Chinese,我有旅游保险。,I have travel insurance.,Insurance
cccb59ff-7441-42cc-a385-cf35a1c137d0,French,Pouvez-vous l'écrire s'il vous plaît?,Can you write it down please?,Communication
acbe7663-271e-4946-bdcf-d0c720096960,French,Avez-vous ce médicament?,Do you have this medication?,Medication
12186b54-240d-4bc0-8144-e6afb5bbfa04,Arabic,أنا أتقيأ.,I am vomiting.,Symptoms
b204d291-633e-482f-b3e0-2c2be2e79928,English,I need a telehealth appointment.,I need a telehealth appointment.,Navigation
cf3e4585-905f-4bfc-abe2-93f7bf0066cd,Chinese,我丢失了我的药。,I lost my medication.,Medication
949a2e48-3818-45a9-b879-b7c3da4c9b2d,Japanese,熱があります。,I have a fever.,Symptoms
5032893e-f4b7-4c94-a1b5-6f09369edf70,Japanese,緊急の助けが必要です。,I need emergency help.,Emergency
aed78f53-2e85-403c-9b35-b880db774f7a,Portuguese,Não entendo.,I do not understand.,Communication
c4e62927-f144-42a9-b65a-03568c8f1fd3,Spanish,¿Puede escribirlo por favor?,Can you write it down please?,Communication
ff654427-ffdc-415f-82a8-77c6a59e81ba,Portuguese,Tenho diarreia.,I have diarrhea.,Symptoms
3b049a06-a1d1-4f5c-ac03-3d9b9ce39c0f,Portuguese,Preciso de uma ambulância.,I need an ambulance.,Emergency
819b03d1-6ad2-483c-a10e-93a4999e4cc9,Spanish,No entiendo.,I do not understand.,Communication
adee22a7-15e9-467f-ab2d-04c85e2de0fb,Spanish,Tengo dolor de estómago.,I have abdominal pain.,Symptoms
a1e537cb-b6ef-4958-912f-156ef51d396f,English,Call 911 please.,Call 911 please.,Emergency
13ea3fe2-ef8f-4032-9c46-f454c35a33fc,Spanish,Perdí mi medicamento.,I lost my medication.,Medication
3996d462-d29a-4856-8271-3de57b0394d6,Chinese,我可以自费吗？,Can I pay out of pocket?,Insurance
f7b84875-8608-4f9a-a98e-1ce6608bd7e7,French,"Aidez-moi, je suis très malade.","Help me, I am very sick.",Emergency
9eea852b-10c5-40d5-beb9-fcd001ac280c,French,J'ai une éruption cutanée.,I have a rash.,Symptoms
ca1dfdfa-fb90-4936-ade7-5bfdf1d12a9a,Portuguese,Tenho uma EpiPen para alergias graves.,I have an EpiPen for severe allergies.,Medication
c294f1be-5dc9-4296-beaf-826f75e77f2e,Spanish,Necesito ayuda de emergencia.,I need emergency help.,Emergency
a4a2ccb0-bd5e-41df-a8fd-6618e49f7865,Chinese,最近的紧急护理中心在哪里？,Where is the nearest urgent care center?,Navigation
3786720b-fde5-494e-8bc0-3abe1c6140f7,French,Parlez lentement s'il vous plaît.,Please speak slowly.,Communication
3f2b9987-9ff1-4d7f-81a4-eee8ff2be9c9,Spanish,¿Dónde puedo encontrar una farmacia?,Where can I find a pharmacy?,Medication
38130ae6-e371-4c32-8753-93f2ef6c4ec8,Chinese,能写下来吗？,Can you write it down please?,Communication
a44f9121-e700-4fd0-bbce-50ee5d81e0d2,English,I need emergency help.,I need emergency help.,Emergency
65f17eac-f6d7-4e34-a808-4a4812fb1657,Arabic,لا أتكلم الإنجليزية.,I do not speak English.,Communication
d04086ea-5f5e-48b2-b4d7-d37f52e9c586,English,I have difficulty breathing.,I have difficulty breathing.,Symptoms
2e460edc-b588-4984-9695-5a2c93d855c9,Spanish,Llame al 911 por favor.,Call 911 please.,Emergency
90158fd8-b4c8-425c-9a25-16364a1ec867,Japanese,腫れがあります。,I have swelling.,Symptoms
d0f5ae07-a324-4b5c-9d91-8f7d74995faa,English,Please speak slowly.,Please speak slowly.,Communication
3570296f-eba4-4381-a2fc-c0cd5694f551,Chinese,我没有保险。,I do not have insurance.,Insurance
89474450-5e5c-49db-88cc-2ac87d36fd09,Portuguese,Preciso de ajuda de emergência.,I need emergency help.,Emergency
fac35a78-46a8-4d4a-a06f-9c2a5380b6d0,Chinese,请说慢点。,Please speak slowly.,Communication
d326b95d-d8cf-4b5b-b5a6-8bfca3fc1979,Spanish,¿Hay un médico que hable mi idioma?,Is there a doctor who speaks my language?,Navigation
2e4c836e-5151-46aa-8cb4-53432ce9a358,English,I do not understand.,I do not understand.,Communication
ed8eb5da-9076-4c3a-8d33-49ee89964815,French,Je ne parle pas anglais.,I do not speak English.,Communication
a4cc9abf-338b-497d-bcbc-84d63e90ab9f,Portuguese,Preciso renovar minha receita.,I need a prescription refill.,Medication
d4ecfc8e-d6e8-4d5b-8877-eafeccc68c62,Chinese,我头疼。,I have a headache.,Symptoms
6a941f3b-46c1-4d93-9fc6-b5bde0934b8c,Spanish,Tengo seguro de viaje.,I have travel insurance.,Insurance
647b19f7-c4e4-4f7d-9b48-7f9daed5abc6,Spanish,Esto es una emergencia.,This is an emergency.,Emergency
8452b06d-4903-4865-b5aa-ae1c3da3429b,English,Where is the nearest emergency room?,Where is the nearest emergency room?,Navigation
79462c31-f289-4c91-b138-99470e3a902b,Portuguese,Sou alérgico/a à penicilina.,I am allergic to penicillin.,Symptoms
815bc4d6-f891-4c11-88f8-7ad784f24b4c,Portuguese,Preciso de ajuda de emergência.,I need emergency help.,Emergency
3663f533-a479-40b4-b52b-70a7258b3355,Portuguese,Vocês aceitam seguro internacional?,Do you accept international insurance?,Insurance
10560020-e1cb-4bde-85df-c95b6df95146,Arabic,هذه حالة طارئة.,This is an emergency.,Emergency
0608b0c8-efbb-42fa-bc37-c1db83198391,Japanese,処方の更新が必要です。,I need a prescription refill.,Medication
4525a4d6-8b59-4060-871b-ccbf87c728d0,Arabic,أتناول هذا الدواء يومياً.,I take this medication daily.,Medication
45220ef5-7c55-44ce-aed2-fbd05dede66c,Japanese,通訳はいますか？,Do you have an interpreter?,Communication
30f6b3bc-36e2-4eaa-b086-81d96be4cc45,Spanish,¿Dónde está la sala de emergencias más cercana?,Where is the nearest emergency room?,Navigation
647ac5e3-e6b5-49eb-a41a-87b6c9e7345c,Japanese,通訳はいますか？,Do you have an interpreter?,Communication
0117a982-c2ac-4173-9efd-e61c7c81433d,Arabic,أحتاج إلى تجديد وصفتي الطبية.,I need a prescription refill.,Medication
5124d6aa-5cd5-4a2f-a22c-a8adff7cacf8,English,I do not speak English.,I do not speak English.,Communication
bc5193e3-631b-4bc4-a01d-f5d77d483174,Japanese,救急車が必要です。,I need an ambulance.,Emergency
26a0488a-f743-4b3d-9da9-aa7c863240d9,Spanish,Necesito ayuda de emergencia.,I need emergency help.,Emergency
8abddc17-e82d-44ed-89f9-871acbfa1403,French,Avez-vous ce médicament?,Do you have this medication?,Medication
600d0355-fff1-4d59-923d-8e797bdb4715,Chinese,我可以自费吗？,Can I pay out of pocket?,Insurance
7132e4d5-7d02-4858-bfac-b3b1ddefcca8,French,J'ai une assurance voyage.,I have travel insurance.,Insurance
e68f884a-7634-415c-9166-d9438df6921a,Portuguese,Sou diabético/a e preciso de insulina.,I am diabetic and need insulin.,Medication
7bb28e9e-a036-4224-b3d8-ba41c1dd2bce,Arabic,أنا حساس للبنسلين.,I am allergic to penicillin.,Symptoms
728f87e7-18a6-4efa-aa08-1cac50524b68,Portuguese,Preciso de uma ambulância.,I need an ambulance.,Emergency
301dc1d9-40e2-4d3b-939b-189889de51eb,Japanese,呼吸が苦しいです。,I have difficulty breathing.,Symptoms
4adfbfce-e6e4-465a-ade6-c24b4da6a7c9,Spanish,Por favor hable despacio.,Please speak slowly.,Communication
d4f6f646-64aa-432a-bd88-d7177038922f,Chinese,最近的急诊室在哪里？,Where is the nearest emergency room?,Navigation
f10e0806-d2cc-48d1-8bdd-c005cff8db8d,Spanish,¿Dónde está el centro de atención urgente más cercano?,Where is the nearest urgent care center?,Navigation
a226747f-9add-4fea-a347-975e4d485a70,Portuguese,Onde fica o centro de atendimento urgente mais próximo?,Where is the nearest urgent care center?,Navigation
8fbd72d5-75c4-440d-83c2-dc83d01a1779,Spanish,Soy diabético/a y necesito insulina.,I am diabetic and need insulin.,Medication
c1f4af6e-73be-4b3b-a82f-c30da5be278f,English,I lost my medication.,I lost my medication.,Medication
45808e0c-7e7e-4f78-9cf1-90eb27df2030,Japanese,病院にはどうやって行けばいいですか？,How do I get to the hospital?,Navigation
40d272f8-fbd5-4e42-8dd2-6f843b6e9ca6,Portuguese,Qual é o custo desta consulta?,What is the cost of this visit?,Insurance
5169ae69-a71a-4313-a384-1d58965053b9,Japanese,緊急の助けが必要です。,I need emergency help.,Emergency
c87b1b1d-2b79-4122-8d09-5a415863330c,French,"Aidez-moi, je suis très malade.","Help me, I am very sick.",Emergency
7332a32f-aaef-4335-9f3e-4488818af989,Portuguese,Você tem este medicamento?,Do you have this medication?,Medication
a3e7efa9-433b-411d-8f81-ac7d3bb449bb,French,J'ai besoin d'un rendez-vous en téléconsultation.,I need a telehealth appointment.,Navigation
9ff80396-8840-4020-828c-fa989ad8087d,Japanese,書いていただけますか？,Can you write it down please?,Communication
ca749316-e43d-4034-923e-97a5164cff6f,Spanish,¿Dónde está la sala de emergencias más cercana?,Where is the nearest emergency room?,Navigation
2bf05b2d-98bc-435f-a193-6ed650784f7e,Portuguese,Perdi meu medicamento.,I lost my medication.,Medication
03adbf1f-bde7-4912-a5a0-df3daef01fdd,Chinese,我对青霉素过敏。,I am allergic to penicillin.,Symptoms
c38b9e5f-6e44-425f-a8d3-2f9a1ee12ba8,Arabic,أحتاج إلى سيارة إسعاف.,I need an ambulance.,Emergency
13b62b36-7970-4a71-9499-b4553a64aee7,Spanish,¿Puede escribirlo por favor?,Can you write it down please?,Communication
8e556aa2-d68d-4bd4-abe1-c5f06f3351ac,French,Où se trouve le centre de soins urgents le plus proche?,Where is the nearest urgent care center?,Navigation
2429e3c0-223f-4012-8775-299c946ea970,French,Puis-je payer de ma poche?,Can I pay out of pocket?,Insurance
5c726a3a-35a6-4177-b9f8-3bf8d499fe9e,Portuguese,Posso pagar do meu próprio bolso?,Can I pay out of pocket?,Insurance
83473d99-172d-4ec6-9731-07038142b105,Chinese,我肚子疼。,I have abdominal pain.,Symptoms
0b3a5d81-1e8e-41f3-9315-26bd7c8c1637,Arabic,عندي تورم.,I have swelling.,Symptoms
198b4768-74a0-44b3-9b97-7940a9b2e7c4,Arabic,ليس لدي تأمين.,I do not have insurance.,Insurance
5ab92e1d-5dc7-46d6-8afe-11cbd7ac87c4,Spanish,Tomo este medicamento a diario.,I take this medication daily.,Medication
7a860fa9-64d4-4ac9-bf20-de677b649179,Arabic,عندي طفح جلدي.,I have a rash.,Symptoms
154cf7cb-4cd6-44ff-aba7-73862a3ac1fd,Chinese,你们有翻译吗？,Do you have an interpreter?,Communication
d271d98f-d0a3-4e93-bca7-15c975a817ac,Arabic,عندي حمى.,I have a fever.,Symptoms
18d106c3-20d2-4ac0-9422-5648f4c22fae,Portuguese,Perdi meu medicamento.,I lost my medication.,Medication
9134d6cf-cb34-4872-b0af-5152a4d7daa9,English,I have abdominal pain.,I have abdominal pain.,Symptoms
f86df789-b837-4924-b9d0-3211cb233a79,Portuguese,Tenho dor no peito.,I have chest pain.,Symptoms
5c975fcc-501c-42cf-9010-d05eee702902,Japanese,これは緊急事態です。,This is an emergency.,Emergency
33a9c12f-70ac-4db3-8483-88122f340c09,Spanish,¿Hay un médico que hable mi idioma?,Is there a doctor who speaks my language?,Navigation
d602b9d8-cfef-4bde-bb63-9066bec12d4a,Arabic,هل تقبلون التأمين الدولي؟,Do you accept international insurance?,Insurance
98fc1707-5d63-41d7-948e-2940ba2f5a06,Japanese,旅行保険に加入しています。,I have travel insurance.,Insurance
65de72c0-3de1-478e-b054-9e7f3df9eb3e,French,Je ne parle pas anglais.,I do not speak English.,Communication
5bf6537a-e886-4a3f-af19-de50598e34fc,Portuguese,Isso é uma emergência.,This is an emergency.,Emergency
87ec198e-25f4-4334-b0b2-7ea08e85ffb8,Chinese,你们有翻译吗？,Do you have an interpreter?,Communication
012fbe9d-e6c2-4707-a9b7-bb0d66c5e817,Arabic,لا أفهم.,I do not understand.,Communication
628d5425-ccbc-4033-87f3-4d12bd4f5ae0,Arabic,من فضلك تحدث ببطء.,Please speak slowly.,Communication
b461f550-e873-47ab-b000-9dd397a373d8,Portuguese,Como chego ao hospital?,How do I get to the hospital?,Navigation
ff00e90f-78cc-4df3-b23e-11fab5cc038b,Japanese,めまいがします。,I feel dizzy.,Symptoms
4f512560-bec3-4c6c-b5d5-03c467279cc7,Arabic,أحتاج إلى تجديد وصفتي الطبية.,I need a prescription refill.,Medication
3e55eac4-9b89-4d4b-86f9-2f5a33cef944,Japanese,わかりません。,I do not understand.,Communication
6b03e25b-a9d3-4a24-b893-3eac4f8771c4,Spanish,"Ayúdeme, estoy muy enfermo/a.","Help me, I am very sick.",Emergency
4d8e0b59-180f-4217-a4a2-f222b0fb3663,Japanese,この薬はありますか？,Do you have this medication?,Medication
0243d5ce-7c68-4eb2-af9a-2b9e5459c1e4,Chinese,我不会说英语。,I do not speak English.,Communication
c1bbc71f-6575-4da7-bed0-856b5dcc933b,Chinese,我不明白。,I do not understand.,Communication
caef83f0-ab72-4b4b-9701-6618ddf6ace3,French,J'ai perdu mes médicaments.,I lost my medication.,Medication
352f7cc1-f955-4995-83eb-d3800ac5e973,French,J'ai perdu mes médicaments.,I lost my medication.,Medication
a6b7ec65-2c7c-49ab-9bb4-46d4d7f5f8da,French,"Aidez-moi, je suis très malade.","Help me, I am very sick.",Emergency
8c82d839-e3eb-4fad-8ef6-beb65b6b3197,Arabic,من فضلك تحدث ببطء.,Please speak slowly.,Communication
13c44ea1-c48a-441b-ac71-a7eae96c09f6,Arabic,ساعدني، أنا مريض جداً.,"Help me, I am very sick.",Emergency
140b36c5-62a6-4aec-a446-366b0b770761,Japanese,自費で支払えますか？,Can I pay out of pocket?,Insurance
