facility_id,facility_type,facility_description,common_use_cases,average_cost_range,average_wait_time,appointment_required,insurance_typically_accepted
c83a6b7d-1c3c-415d-956f-129c5bf37c1f,Urgent Care Center,"A convenient alternative to the ER for moderate health concerns, offering services such as X-rays, lab tests, stitches, and prescription services at a fraction of the ER cost.",Allergy symptoms; sinus infections; mild asthma flare-ups; minor lacerations; medication refills for short-term conditions,$200 – $500 (with lab tests and procedures),Under 30 minutes (off-peak),No — walk-in available; appointments preferred at some locations,Most major US insurance; many international travel insurance plans; self-pay options available
22d13f82-af96-4ce2-addb-3b58cc74f2a6,Telehealth Service,"A digital health platform offering 24/7 access to US-licensed healthcare providers for non-emergency medical consultations, mental health support, and prescription management.",Prescription renewals for chronic conditions; mental health counseling; minor illness evaluation; COVID-19 symptom assessment; medical advice,$40 – $75 (basic video visit),Mental health: within 24-48 hours,On-demand visits: no appointment needed; Scheduled visits: appointment preferred,Many US insurance plans cover telehealth; some international travel insurance plans cover virtual visits; self-pay available
7d886aeb-402a-41c8-9eda-f00be2757b95,Urgent Care Center,"A convenient alternative to the ER for moderate health concerns, offering services such as X-rays, lab tests, stitches, and prescription services at a fraction of the ER cost.",Minor fractures; sprains; cuts requiring stitches; ear infections; strep throat; UTIs; mild fevers; skin rashes; respiratory infections,$200 – $500 (with lab tests and procedures),Under 30 minutes (off-peak),No — walk-in available; appointments preferred at some locations,Most major US insurance; many international travel insurance plans; self-pay options available
6933ee93-b592-4945-824d-77bc6de08809,Urgent Care Center,"A convenient alternative to the ER for moderate health concerns, offering services such as X-rays, lab tests, stitches, and prescription services at a fraction of the ER cost.",Allergy symptoms; sinus infections; mild asthma flare-ups; minor lacerations; medication refills for short-term conditions,$150 – $350 (with X-ray),30 – 60 minutes (peak hours),No — walk-in available; appointments preferred at some locations,Most major US insurance; many international travel insurance plans; self-pay options available
01062c9e-001a-4269-8b0e-177ea0b2fb84,Emergency Room (ER),"A hospital-based department providing immediate medical care for life-threatening or severe medical emergencies, staffed 24/7 by emergency physicians and nurses.",Suspected appendicitis; psychiatric emergencies; severe infections; deep lacerations requiring surgery; head injuries with loss of consciousness,"$1,500 – $3,000 (basic visit)",1 – 6 hours (moderate urgency),No — walk-in or 911 arrival,Most major US insurance plans accepted; Medicare; Medicaid; international travel insurance (verify coverage before visit)
1eada2e5-6900-40fe-bea3-66f2458d86d9,Emergency Room (ER),"The emergency department (ED) of a hospital, designed to handle critical conditions, trauma, and severe illnesses that require immediate intervention and hospital-level resources.",Suspected appendicitis; psychiatric emergencies; severe infections; deep lacerations requiring surgery; head injuries with loss of consciousness,"$1,500 – $3,000 (basic visit)",Immediate (life-threatening),No — walk-in or 911 arrival,Most major US insurance plans accepted; Medicare; Medicaid; international travel insurance (verify coverage before visit)
6b0bc891-1fd4-4648-8d46-a8a65c4677df,Urgent Care Center,"A freestanding outpatient clinic offering extended hours and walk-in availability for acute medical conditions, minor injuries, and illnesses.",Flu symptoms; eye infections (pink eye); minor burns; animal bites; STI testing; sports injuries; nausea and vomiting; back pain,$100 – $200 (basic visit),30 – 60 minutes (peak hours),No — walk-in available; appointments preferred at some locations,Most major US insurance; many international travel insurance plans; self-pay options available
76260169-567a-4ad9-924e-fade8206b569,Urgent Care Center,"A convenient alternative to the ER for moderate health concerns, offering services such as X-rays, lab tests, stitches, and prescription services at a fraction of the ER cost.",Minor fractures; sprains; cuts requiring stitches; ear infections; strep throat; UTIs; mild fevers; skin rashes; respiratory infections,$150 – $350 (with X-ray),Under 30 minutes (off-peak),No — walk-in available; appointments preferred at some locations,Most major US insurance; many international travel insurance plans; self-pay options available
40266e01-51a1-459c-9c70-6579db80133e,Emergency Room (ER),"A fully equipped medical facility within a hospital that operates around the clock, equipped with advanced diagnostic tools including CT scanners, MRI, and surgical suites.",Suspected appendicitis; psychiatric emergencies; severe infections; deep lacerations requiring surgery; head injuries with loss of consciousness,"$2,000 – $5,000 (with imaging)",Immediate (life-threatening),No — walk-in or 911 arrival,Most major US insurance plans accepted; Medicare; Medicaid; international travel insurance (verify coverage before visit)
532e10f9-cbaf-47e0-8b94-8e0a535f3d0a,Urgent Care Center,"A freestanding outpatient clinic offering extended hours and walk-in availability for acute medical conditions, minor injuries, and illnesses.",Flu symptoms; eye infections (pink eye); minor burns; animal bites; STI testing; sports injuries; nausea and vomiting; back pain,$100 – $200 (basic visit),30 – 60 minutes (peak hours),No — walk-in available; appointments preferred at some locations,Most major US insurance; many international travel insurance plans; self-pay options available
93d88b01-c105-4f86-a12b-6f34b2fab362,Telehealth Service,"A digital health platform offering 24/7 access to US-licensed healthcare providers for non-emergency medical consultations, mental health support, and prescription management.",Prescription renewals for chronic conditions; mental health counseling; minor illness evaluation; COVID-19 symptom assessment; medical advice,$50 – $100 (with prescription),Mental health: within 24-48 hours,On-demand visits: no appointment needed; Scheduled visits: appointment preferred,Many US insurance plans cover telehealth; some international travel insurance plans cover virtual visits; self-pay available
33a5c22d-14b1-4c95-b12c-c1f0faba5c08,Pharmacy,"A retail pharmacy providing prescription dispensing services, over-the-counter medications, health products, and pharmacist consultation services.","Filling prescriptions from US physicians; purchasing OTC pain relievers, allergy medication, cold remedies; purchasing first aid supplies",$50 – $500+ (brand-name medications without insurance),Immediate (OTC purchases),No — walk-in for OTC; no appointment for prescription drop-off,US health insurance; GoodRx discount card (no insurance needed); self-pay accepted at all pharmacies
8eaa70ac-5b5c-4ea3-8964-f0d7153e66bd,Urgent Care Center,"A convenient alternative to the ER for moderate health concerns, offering services such as X-rays, lab tests, stitches, and prescription services at a fraction of the ER cost.",Flu symptoms; eye infections (pink eye); minor burns; animal bites; STI testing; sports injuries; nausea and vomiting; back pain,$100 – $200 (basic visit),15 – 45 minutes,No — walk-in available; appointments preferred at some locations,Most major US insurance; many international travel insurance plans; self-pay options available
54ace9dd-c1c8-48bc-911d-fe0bbc9a08cc,Pharmacy,"A retail pharmacy providing prescription dispensing services, over-the-counter medications, health products, and pharmacist consultation services.",Receiving flu shots and other vaccinations; blood pressure screenings; purchasing diabetic supplies; contraception; vitamins and supplements,$10 – $100 (generic prescriptions),Up to 1 hour (new prescriptions with insurance verification),No — walk-in for OTC; no appointment for prescription drop-off,US health insurance; GoodRx discount card (no insurance needed); self-pay accepted at all pharmacies
ed816154-9e0f-4ddb-859b-7e8ddb19f8e3,Emergency Room (ER),"The emergency department (ED) of a hospital, designed to handle critical conditions, trauma, and severe illnesses that require immediate intervention and hospital-level resources.",Difficulty breathing; severe abdominal pain; high fever with stiff neck; seizures; overdose or poisoning; severe burns; eye injuries with vision loss,"$1,500 – $3,000 (basic visit)",30 min – 4 hours (non-critical),No — walk-in or 911 arrival,Most major US insurance plans accepted; Medicare; Medicaid; international travel insurance (verify coverage before visit)
3064aeb0-d56a-4caf-b910-d89ba73223d9,Pharmacy,"A full-service pharmacy offering prescription services, vaccinations, health screenings, and a comprehensive selection of over-the-counter remedies.",Receiving flu shots and other vaccinations; blood pressure screenings; purchasing diabetic supplies; contraception; vitamins and supplements,$50 – $500+ (brand-name medications without insurance),Up to 1 hour (new prescriptions with insurance verification),No — walk-in for OTC; no appointment for prescription drop-off,US health insurance; GoodRx discount card (no insurance needed); self-pay accepted at all pharmacies
47ad2496-3acb-4a69-a966-12427c829b86,Urgent Care Center,A walk-in medical clinic providing care for non-life-threatening illnesses and injuries that require same-day attention but are not severe enough for an emergency room visit.,Allergy symptoms; sinus infections; mild asthma flare-ups; minor lacerations; medication refills for short-term conditions,$100 – $200 (basic visit),Under 30 minutes (off-peak),No — walk-in available; appointments preferred at some locations,Most major US insurance; many international travel insurance plans; self-pay options available
03f3ce8d-4cb9-4635-9365-72979279a8ef,Emergency Room (ER),"A hospital-based department providing immediate medical care for life-threatening or severe medical emergencies, staffed 24/7 by emergency physicians and nurses.",Chest pain or suspected heart attack; stroke symptoms; severe allergic reactions (anaphylaxis); major trauma or broken bones; uncontrolled bleeding; loss of consciousness,"$3,000 – $10,000+ (complex cases)",1 – 6 hours (moderate urgency),No — walk-in or 911 arrival,Most major US insurance plans accepted; Medicare; Medicaid; international travel insurance (verify coverage before visit)
38af1caf-fb7d-4358-8d72-ce23160620d6,Pharmacy,A community pharmacy where licensed pharmacists dispense prescription medications and advise customers on OTC drug selection and drug interactions.,"Filling prescriptions from US physicians; purchasing OTC pain relievers, allergy medication, cold remedies; purchasing first aid supplies",$0 – $20 (OTC medications),Up to 1 hour (new prescriptions with insurance verification),No — walk-in for OTC; no appointment for prescription drop-off,US health insurance; GoodRx discount card (no insurance needed); self-pay accepted at all pharmacies
7bc414b8-23e7-4aad-94cc-d53f73dd0100,Pharmacy,"A full-service pharmacy offering prescription services, vaccinations, health screenings, and a comprehensive selection of over-the-counter remedies.","Medication counseling; medication synchronization; refilling maintenance medications; purchasing medical devices (thermometers, glucometers)",$50 – $500+ (brand-name medications without insurance),Up to 1 hour (new prescriptions with insurance verification),No — walk-in for OTC; no appointment for prescription drop-off,US health insurance; GoodRx discount card (no insurance needed); self-pay accepted at all pharmacies
09767c1a-faec-4978-9688-08eeb07aae02,Emergency Room (ER),"The emergency department (ED) of a hospital, designed to handle critical conditions, trauma, and severe illnesses that require immediate intervention and hospital-level resources.",Chest pain or suspected heart attack; stroke symptoms; severe allergic reactions (anaphylaxis); major trauma or broken bones; uncontrolled bleeding; loss of consciousness,"$3,000 – $10,000+ (complex cases)",1 – 6 hours (moderate urgency),No — walk-in or 911 arrival,Most major US insurance plans accepted; Medicare; Medicaid; international travel insurance (verify coverage before visit)
8f1cd741-ab8b-417e-bb56-af883b644d6f,Community Health Clinic,"A federally qualified health center (FQHC) or nonprofit clinic providing affordable primary care, preventive services, and basic medical care on a sliding-fee scale regardless of insurance status.",General health check-ups; management of chronic conditions; vaccinations; family planning; dental care (at some locations); mental health services,$20 – $80 (low-income scale),Walk-in availability varies by location,Recommended; walk-in availability varies; call ahead to confirm,Accepts uninsured patients; Medicaid; Medicare; some private insurance; sliding-fee scale for all income levels
6cd2edd4-fe6c-4b7d-9519-1c53a86afe46,Emergency Room (ER),"A fully equipped medical facility within a hospital that operates around the clock, equipped with advanced diagnostic tools including CT scanners, MRI, and surgical suites.",Chest pain or suspected heart attack; stroke symptoms; severe allergic reactions (anaphylaxis); major trauma or broken bones; uncontrolled bleeding; loss of consciousness,"$1,500 – $3,000 (basic visit)",30 min – 4 hours (non-critical),No — walk-in or 911 arrival,Most major US insurance plans accepted; Medicare; Medicaid; international travel insurance (verify coverage before visit)
65a320aa-c2c5-4c33-a8e3-ec2eaf8e86b6,Telehealth Service,"A virtual healthcare platform connecting patients with licensed physicians, nurse practitioners, and mental health professionals via video, phone, or secure messaging.",Cold and flu symptom management; skin condition consultations (photo-based); sleep issues; anxiety and depression support; medication questions,$40 – $75 (basic video visit),On-demand: under 15 minutes,On-demand visits: no appointment needed; Scheduled visits: appointment preferred,Many US insurance plans cover telehealth; some international travel insurance plans cover virtual visits; self-pay available
ff043e5f-d808-44eb-b8c2-08f5edf19c0b,Urgent Care Center,"A convenient alternative to the ER for moderate health concerns, offering services such as X-rays, lab tests, stitches, and prescription services at a fraction of the ER cost.",Flu symptoms; eye infections (pink eye); minor burns; animal bites; STI testing; sports injuries; nausea and vomiting; back pain,$100 – $200 (basic visit),30 – 60 minutes (peak hours),No — walk-in available; appointments preferred at some locations,Most major US insurance; many international travel insurance plans; self-pay options available
9fc5f387-c3a5-4feb-9ef7-3b6635aba7f3,Emergency Room (ER),"A fully equipped medical facility within a hospital that operates around the clock, equipped with advanced diagnostic tools including CT scanners, MRI, and surgical suites.",Suspected appendicitis; psychiatric emergencies; severe infections; deep lacerations requiring surgery; head injuries with loss of consciousness,"$2,000 – $5,000 (with imaging)",1 – 6 hours (moderate urgency),No — walk-in or 911 arrival,Most major US insurance plans accepted; Medicare; Medicaid; international travel insurance (verify coverage before visit)
41872c05-9d26-45a4-ace2-0a70b9b46f40,Urgent Care Center,"A freestanding outpatient clinic offering extended hours and walk-in availability for acute medical conditions, minor injuries, and illnesses.",Flu symptoms; eye infections (pink eye); minor burns; animal bites; STI testing; sports injuries; nausea and vomiting; back pain,$200 – $500 (with lab tests and procedures),Under 30 minutes (off-peak),No — walk-in available; appointments preferred at some locations,Most major US insurance; many international travel insurance plans; self-pay options available
dce36cb5-9245-4ac6-9891-5bf116265df4,Emergency Room (ER),"A fully equipped medical facility within a hospital that operates around the clock, equipped with advanced diagnostic tools including CT scanners, MRI, and surgical suites.",Chest pain or suspected heart attack; stroke symptoms; severe allergic reactions (anaphylaxis); major trauma or broken bones; uncontrolled bleeding; loss of consciousness,"$3,000 – $10,000+ (complex cases)",1 – 6 hours (moderate urgency),No — walk-in or 911 arrival,Most major US insurance plans accepted; Medicare; Medicaid; international travel insurance (verify coverage before visit)
bc7fbe03-d50d-4333-8c82-3234bda40694,Urgent Care Center,"A convenient alternative to the ER for moderate health concerns, offering services such as X-rays, lab tests, stitches, and prescription services at a fraction of the ER cost.",Minor fractures; sprains; cuts requiring stitches; ear infections; strep throat; UTIs; mild fevers; skin rashes; respiratory infections,$200 – $500 (with lab tests and procedures),Under 30 minutes (off-peak),No — walk-in available; appointments preferred at some locations,Most major US insurance; many international travel insurance plans; self-pay options available
19c514f7-3193-4695-8900-40918919d431,Emergency Room (ER),"A hospital-based department providing immediate medical care for life-threatening or severe medical emergencies, staffed 24/7 by emergency physicians and nurses.",Difficulty breathing; severe abdominal pain; high fever with stiff neck; seizures; overdose or poisoning; severe burns; eye injuries with vision loss,"$2,000 – $5,000 (with imaging)",30 min – 4 hours (non-critical),No — walk-in or 911 arrival,Most major US insurance plans accepted; Medicare; Medicaid; international travel insurance (verify coverage before visit)
b7286382-81c8-4a66-90f1-8d04db8875c4,Pharmacy,A community pharmacy where licensed pharmacists dispense prescription medications and advise customers on OTC drug selection and drug interactions.,"Filling prescriptions from US physicians; purchasing OTC pain relievers, allergy medication, cold remedies; purchasing first aid supplies",$0 – $20 (OTC medications),Immediate (OTC purchases),No — walk-in for OTC; no appointment for prescription drop-off,US health insurance; GoodRx discount card (no insurance needed); self-pay accepted at all pharmacies
36b35060-6750-4067-92c6-688cf8334523,Emergency Room (ER),"A fully equipped medical facility within a hospital that operates around the clock, equipped with advanced diagnostic tools including CT scanners, MRI, and surgical suites.",Chest pain or suspected heart attack; stroke symptoms; severe allergic reactions (anaphylaxis); major trauma or broken bones; uncontrolled bleeding; loss of consciousness,"$1,500 – $3,000 (basic visit)",Immediate (life-threatening),No — walk-in or 911 arrival,Most major US insurance plans accepted; Medicare; Medicaid; international travel insurance (verify coverage before visit)
d4a90269-d03e-46db-8471-6a48395e57e3,Emergency Room (ER),"The emergency department (ED) of a hospital, designed to handle critical conditions, trauma, and severe illnesses that require immediate intervention and hospital-level resources.",Chest pain or suspected heart attack; stroke symptoms; severe allergic reactions (anaphylaxis); major trauma or broken bones; uncontrolled bleeding; loss of consciousness,"$2,000 – $5,000 (with imaging)",Immediate (life-threatening),No — walk-in or 911 arrival,Most major US insurance plans accepted; Medicare; Medicaid; international travel insurance (verify coverage before visit)
98c71b4e-65ea-421b-be57-98d3d016ad33,Pharmacy,"A retail pharmacy providing prescription dispensing services, over-the-counter medications, health products, and pharmacist consultation services.","Medication counseling; medication synchronization; refilling maintenance medications; purchasing medical devices (thermometers, glucometers)",$10 – $100 (generic prescriptions),15 – 30 minutes (prescription fill),No — walk-in for OTC; no appointment for prescription drop-off,US health insurance; GoodRx discount card (no insurance needed); self-pay accepted at all pharmacies
8952a830-e4b0-404e-abdf-ec47ad74d8e3,Pharmacy,A community pharmacy where licensed pharmacists dispense prescription medications and advise customers on OTC drug selection and drug interactions.,"Medication counseling; medication synchronization; refilling maintenance medications; purchasing medical devices (thermometers, glucometers)",$0 – $20 (OTC medications),Immediate (OTC purchases),No — walk-in for OTC; no appointment for prescription drop-off,US health insurance; GoodRx discount card (no insurance needed); self-pay accepted at all pharmacies
02591293-494b-4bc1-8304-8199b90a6751,Urgent Care Center,A walk-in medical clinic providing care for non-life-threatening illnesses and injuries that require same-day attention but are not severe enough for an emergency room visit.,Flu symptoms; eye infections (pink eye); minor burns; animal bites; STI testing; sports injuries; nausea and vomiting; back pain,$100 – $200 (basic visit),Under 30 minutes (off-peak),No — walk-in available; appointments preferred at some locations,Most major US insurance; many international travel insurance plans; self-pay options available
a6ff6836-393a-450c-bd37-7a9d5d21fbe6,Community Health Clinic,"A community-based health center serving underinsured and uninsured patients, offering comprehensive primary care with fees adjusted based on income level.",Health education; social services referrals; sliding-scale fee primary care; care for uninsured patients; language interpreter services,$20 – $80 (low-income scale),1 – 3 days (scheduled appointments),Recommended; walk-in availability varies; call ahead to confirm,Accepts uninsured patients; Medicaid; Medicare; some private insurance; sliding-fee scale for all income levels
375375d8-12dc-41d3-8eee-bf42bbf2b198,Pharmacy,"A full-service pharmacy offering prescription services, vaccinations, health screenings, and a comprehensive selection of over-the-counter remedies.",Receiving flu shots and other vaccinations; blood pressure screenings; purchasing diabetic supplies; contraception; vitamins and supplements,$50 – $500+ (brand-name medications without insurance),15 – 30 minutes (prescription fill),No — walk-in for OTC; no appointment for prescription drop-off,US health insurance; GoodRx discount card (no insurance needed); self-pay accepted at all pharmacies
cbcfa7d9-302f-4177-9839-9308cf8137fd,Telehealth Service,"A digital health platform offering 24/7 access to US-licensed healthcare providers for non-emergency medical consultations, mental health support, and prescription management.",Prescription renewals for chronic conditions; mental health counseling; minor illness evaluation; COVID-19 symptom assessment; medical advice,$60 – $150 (specialist telehealth),Scheduled: same day or next day,On-demand visits: no appointment needed; Scheduled visits: appointment preferred,Many US insurance plans cover telehealth; some international travel insurance plans cover virtual visits; self-pay available
e935ea3d-876b-4e38-a04f-4cc0da4114af,Urgent Care Center,"A freestanding outpatient clinic offering extended hours and walk-in availability for acute medical conditions, minor injuries, and illnesses.",Allergy symptoms; sinus infections; mild asthma flare-ups; minor lacerations; medication refills for short-term conditions,$200 – $500 (with lab tests and procedures),30 – 60 minutes (peak hours),No — walk-in available; appointments preferred at some locations,Most major US insurance; many international travel insurance plans; self-pay options available
3c0c32b9-3edf-42f9-9ea2-7138936ede26,Urgent Care Center,"A freestanding outpatient clinic offering extended hours and walk-in availability for acute medical conditions, minor injuries, and illnesses.",Minor fractures; sprains; cuts requiring stitches; ear infections; strep throat; UTIs; mild fevers; skin rashes; respiratory infections,$100 – $200 (basic visit),15 – 45 minutes,No — walk-in available; appointments preferred at some locations,Most major US insurance; many international travel insurance plans; self-pay options available
d5cdeac5-eabf-411e-aa72-5ed8251d1316,Urgent Care Center,A walk-in medical clinic providing care for non-life-threatening illnesses and injuries that require same-day attention but are not severe enough for an emergency room visit.,Minor fractures; sprains; cuts requiring stitches; ear infections; strep throat; UTIs; mild fevers; skin rashes; respiratory infections,$200 – $500 (with lab tests and procedures),30 – 60 minutes (peak hours),No — walk-in available; appointments preferred at some locations,Most major US insurance; many international travel insurance plans; self-pay options available
04c68584-93b6-445a-a881-9570a6a40492,Urgent Care Center,"A freestanding outpatient clinic offering extended hours and walk-in availability for acute medical conditions, minor injuries, and illnesses.",Allergy symptoms; sinus infections; mild asthma flare-ups; minor lacerations; medication refills for short-term conditions,$150 – $350 (with X-ray),15 – 45 minutes,No — walk-in available; appointments preferred at some locations,Most major US insurance; many international travel insurance plans; self-pay options available
0fc92782-397e-4b36-99c5-cd5ab1f7b7e2,Pharmacy,"A full-service pharmacy offering prescription services, vaccinations, health screenings, and a comprehensive selection of over-the-counter remedies.",Receiving flu shots and other vaccinations; blood pressure screenings; purchasing diabetic supplies; contraception; vitamins and supplements,$0 – $20 (OTC medications),Immediate (OTC purchases),No — walk-in for OTC; no appointment for prescription drop-off,US health insurance; GoodRx discount card (no insurance needed); self-pay accepted at all pharmacies
b0ceaa88-94c6-4470-8eaf-af29330f2e94,Urgent Care Center,A walk-in medical clinic providing care for non-life-threatening illnesses and injuries that require same-day attention but are not severe enough for an emergency room visit.,Minor fractures; sprains; cuts requiring stitches; ear infections; strep throat; UTIs; mild fevers; skin rashes; respiratory infections,$200 – $500 (with lab tests and procedures),15 – 45 minutes,No — walk-in available; appointments preferred at some locations,Most major US insurance; many international travel insurance plans; self-pay options available
e6d2c547-0642-4be1-970e-8a3ad753d0d8,Telehealth Service,"A digital health platform offering 24/7 access to US-licensed healthcare providers for non-emergency medical consultations, mental health support, and prescription management.",Cold and flu symptom management; skin condition consultations (photo-based); sleep issues; anxiety and depression support; medication questions,$50 – $100 (with prescription),Mental health: within 24-48 hours,On-demand visits: no appointment needed; Scheduled visits: appointment preferred,Many US insurance plans cover telehealth; some international travel insurance plans cover virtual visits; self-pay available
51823021-a0a0-46aa-854d-93b59a6da488,Pharmacy,"A retail pharmacy providing prescription dispensing services, over-the-counter medications, health products, and pharmacist consultation services.","Filling prescriptions from US physicians; purchasing OTC pain relievers, allergy medication, cold remedies; purchasing first aid supplies",$0 – $20 (OTC medications),Immediate (OTC purchases),No — walk-in for OTC; no appointment for prescription drop-off,US health insurance; GoodRx discount card (no insurance needed); self-pay accepted at all pharmacies
1df7a8f6-423c-4a7a-8269-242e416ffde7,Urgent Care Center,"A convenient alternative to the ER for moderate health concerns, offering services such as X-rays, lab tests, stitches, and prescription services at a fraction of the ER cost.",Minor fractures; sprains; cuts requiring stitches; ear infections; strep throat; UTIs; mild fevers; skin rashes; respiratory infections,$150 – $350 (with X-ray),15 – 45 minutes,No — walk-in available; appointments preferred at some locations,Most major US insurance; many international travel insurance plans; self-pay options available
c1be64db-cfb0-4204-9bef-13300d7a2851,Emergency Room (ER),"The emergency department (ED) of a hospital, designed to handle critical conditions, trauma, and severe illnesses that require immediate intervention and hospital-level resources.",Chest pain or suspected heart attack; stroke symptoms; severe allergic reactions (anaphylaxis); major trauma or broken bones; uncontrolled bleeding; loss of consciousness,"$1,500 – $3,000 (basic visit)",Immediate (life-threatening),No — walk-in or 911 arrival,Most major US insurance plans accepted; Medicare; Medicaid; international travel insurance (verify coverage before visit)
1689ca9c-1609-4fc2-98cf-14e764e05b82,Pharmacy,A community pharmacy where licensed pharmacists dispense prescription medications and advise customers on OTC drug selection and drug interactions.,"Filling prescriptions from US physicians; purchasing OTC pain relievers, allergy medication, cold remedies; purchasing first aid supplies",$10 – $100 (generic prescriptions),Immediate (OTC purchases),No — walk-in for OTC; no appointment for prescription drop-off,US health insurance; GoodRx discount card (no insurance needed); self-pay accepted at all pharmacies
d27d6c7b-275a-47ff-a523-cdfb8757f604,Telehealth Service,"An online medical service providing remote consultations, diagnosis support for minor conditions, prescription services, and care coordination without requiring an in-person visit.",Prescription renewals for chronic conditions; mental health counseling; minor illness evaluation; COVID-19 symptom assessment; medical advice,$60 – $150 (specialist telehealth),On-demand: under 15 minutes,On-demand visits: no appointment needed; Scheduled visits: appointment preferred,Many US insurance plans cover telehealth; some international travel insurance plans cover virtual visits; self-pay available
